name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
EIO New Born Baby Gift Set -13 Piecess (Pink),kids' fashion,Baby Fashion,https://m.media-amazon.com/images/I/61X3IMp9dvL._AC_UL320_.jpg,https://www.amazon.in/EIO-Kidi-Born-Babys-Piece/dp/B07ZBMFTHX/ref=sr_1_1?qid=1679221448&s=apparel&sr=1-1,4.2,"2,958",₹649,"₹1,499"
"exciting Lives - Vintage Motorbike Pocket Watch Keychain - Gift for Birthday, Anniversary - for Brother, Boyfriend, Friend...",kids' fashion,Baby Fashion,https://m.media-amazon.com/images/I/71f3rkWNAFL._AC_UL320_.jpg,https://www.amazon.in/exciting-Lives-Motorbike-Birthday-Boyfriend/dp/B07N6DV5HF/ref=sr_1_2?qid=1679221448&s=apparel&sr=1-2,4.2,161,₹485,₹699
Jewel string by Bk arts Evil Eye Baby Nazaria adjustable (1pair) Size for newborn baby to 3 year child girl boy (unisex) n...,kids' fashion,Baby Fashion,https://m.media-amazon.com/images/I/51Fc5epiN1L._AC_UL320_.jpg,https://www.amazon.in/jewel-string-evil-eye-nazariya/dp/B08CTDM2XB/ref=sr_1_3?qid=1679221448&s=apparel&sr=1-3,4.2,962,₹249,₹799
Superminis Unisex-baby's Bootie,kids' fashion,Baby Fashion,https://m.media-amazon.com/images/I/71MNqAzGnAL._AC_UL320_.jpg,https://www.amazon.in/Superminis-Velvet-Booties-Wooden-Button/dp/B08XN4HGHQ/ref=sr_1_4?qid=1679221448&s=apparel&sr=1-4,4.1,"2,046",₹350,₹899
"My Newborn Baby Mittens Caps Gloves and Booty Combo Set - Pair of 3 (Assorted Colours, 0-3 Months) | Unisex Booty Set | Du...",kids' fashion,Baby Fashion,https://m.media-amazon.com/images/I/61CHRBjLTdL._AC_UL320_.jpg,https://www.amazon.in/My-NewBorn-Baby-Mitten-Booty/dp/B07NY1RX1M/ref=sr_1_5?qid=1679221448&s=apparel&sr=1-5,3.8,"5,601",₹299,₹900
DHRUVS COLLECTION 92.5 Pure Silver Black Beads Crystal Nazariya Bracelet for Baby Boys & Girls - Set of 2,kids' fashion,Baby Fashion,https://m.media-amazon.com/images/I/618KZ5Vlo0L._AC_UL320_.jpg,https://www.amazon.in/DHRUVS-COLLECTION-Sterling-Nazariya-Bracelet/dp/B082Q3CH66/ref=sr_1_6?qid=1679221448&s=apparel&sr=1-6,4.0,264,₹440,"₹1,599"
Bold N Elegant - Be Bold Inside & Elegant Outside Kid's Cotton T-Shirt,kids' fashion,Baby Fashion,https://m.media-amazon.com/images/I/512Fau61yGL._AC_UL320_.jpg,https://www.amazon.in/Bold-Elegant-Outside-Knee-Length-Clothing/dp/B08JV8GB2V/ref=sr_1_7?qid=1679221448&s=apparel&sr=1-7,3.9,"4,050",₹549,"₹1,999"
NPRC Unisex Wool Cap (436_Multicolor_M),kids' fashion,Baby Fashion,https://m.media-amazon.com/images/I/A1hUaXW-HmL._AC_UL320_.jpg,https://www.amazon.in/NPRC-Woollen-Monkey-Color-Printed/dp/B0732VPKMN/ref=sr_1_8?qid=1679221448&s=apparel&sr=1-8,4.1,2,₹149,₹499
SooWoo® Boy’s Anti-Skid Grip Cotton Socks,kids' fashion,Baby Fashion,https://m.media-amazon.com/images/I/81mJmWUJT+L._AC_UL320_.jpg,https://www.amazon.in/SooWoo%C2%AE-Anti-Skid-Cotton-Socks-6-12M/dp/B0BTB6WWPF/ref=sr_1_9?qid=1679221448&s=apparel&sr=1-9,,,₹699,"₹1,299"
Coolz Kids Chu-Chu Sound Musical First Walking Sandals C-06 for Baby Boys and Baby Girls Age 12-24 Months,kids' fashion,Baby Fashion,https://m.media-amazon.com/images/I/810iMPEu00L._AC_UL320_.jpg,https://www.amazon.in/Coolz-Chu-Chu-Musical-Walking-Length-13-3cm/dp/B0867XVGVK/ref=sr_1_10?qid=1679221448&s=apparel&sr=1-10,4.2,"5,914",₹349,₹499
"vaghbhatt baby hair band Multi-Colour Nylon Lace Head Band For Girls, Hairbands, Ribbon Boutique, Elastic Bow Bowknot for ...",kids' fashion,Baby Fashion,https://m.media-amazon.com/images/I/614nSuPIhWL._AC_UL320_.jpg,https://www.amazon.in/vaghbhatt-Multi-Colour-Hairbands-Boutique-Elastic/dp/B08NYWH1NM/ref=sr_1_11?qid=1679221448&s=apparel&sr=1-11,4.0,768,₹299,₹599
"LuvLap 100% Cotton Baby Caps, Mittens and Booties Combo Set for 0-6 Months - Pack of 2 (Assorted)",kids' fashion,Baby Fashion,https://m.media-amazon.com/images/I/71XG9Mly8UL._AC_UL320_.jpg,https://www.amazon.in/LuvLap-Cotton-Mittens-Booties-Months/dp/B08PFYCNHF/ref=sr_1_12?qid=1679221448&s=apparel&sr=1-12,4.0,"2,439",,₹398
"Kids Fitness Tracker Watch for Girls Boys, Digital Watch with Alarm Clock, Stopwatch, Sleep Monitor, No App Sport Watches ...",kids' fashion,Baby Fashion,https://m.media-amazon.com/images/I/61MMzlOW47L._AC_UL320_.jpg,https://www.amazon.in/Fitness-Tracker-Stopwatch-Waterproof-Students/dp/B09M8CGLC2/ref=sr_1_13?qid=1679221448&s=apparel&sr=1-13,4.1,13,"₹4,227","₹9,900"
CHIU Chu-Chu Black Shoes with Double Strap for Baby Boys & Baby Girls,kids' fashion,Baby Fashion,https://m.media-amazon.com/images/I/51cXHqiTi+L._AC_UL320_.jpg,https://www.amazon.in/CHiU-Double-Booties-15-18-Months-C02-Star-Blue-5/dp/B078LXGX81/ref=sr_1_14?qid=1679221448&s=apparel&sr=1-14,4.0,"7,280",₹298,₹499
"Wearville New Born Baby Boy's & Baby Girls jabla Clothing Top Set(Multicolored),Pack of 10",kids' fashion,Baby Fashion,https://m.media-amazon.com/images/I/71KhPZuuWgS._AC_UL320_.jpg,https://www.amazon.in/Wearville-Girls-Clothing-Multicolored-Months/dp/B0922QT8YK/ref=sr_1_15?qid=1679221448&s=apparel&sr=1-15,4.2,940,₹499,"₹1,299"
DHRUVS COLLECTION Exclusive BIS Hallmarked 925 Pure Silver Evil Eye Baby Nazariya Bracelets With Black Crystal & Silver Be...,kids' fashion,Baby Fashion,https://m.media-amazon.com/images/I/51E7H38r9zL._AC_UL320_.jpg,https://www.amazon.in/DHRUVS-COLLECTION-Exclusive-Hallmarked-adjustable/dp/B09WW2QR3C/ref=sr_1_16?qid=1679221448&s=apparel&sr=1-16,4.4,39,₹467,₹899
"Luv Lap Liquid Cleanser, Anti-Bacterial, Food Grade, For Baby Bottles, Accessories and Vegetables, 1.5ltr",kids' fashion,Baby Fashion,https://m.media-amazon.com/images/I/71p5fCtiCnL._AC_UL320_.jpg,https://www.amazon.in/Luvlap-Anti-Bacterial-Accessories-Vegetable-Cleanser/dp/B07KJGC4YF/ref=sr_1_17?qid=1679221448&s=apparel&sr=1-17,4.4,"5,883",₹509,₹669
CUTEABLY unisex-baby Multicolored Booties - 6 Months (Set of 2 Pairs),kids' fashion,Baby Fashion,https://m.media-amazon.com/images/I/61B-3c9Fy+L._AC_UL320_.jpg,https://www.amazon.in/Ninos-World-Cotton-Cartoon-Multicolour/dp/B07M9Z3LZF/ref=sr_1_18?qid=1679221448&s=apparel&sr=1-18,3.5,805,₹279,₹499
