name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Jaspo Kidzyy Steel Badminton Racquet with 6pc. Nylon Shuttle (Suitable for Kids)-Made in India (Orange),sports & fitness,Badminton,https://m.media-amazon.com/images/I/816z1d69TWL._AC_UL320_.jpg,https://www.amazon.in/Kidzyy-Badminton-Racquet-Shuttle-Suitable/dp/B09P34VSYY/ref=sr_1_433?qid=1679216839&s=sports&sr=1-433,3.4,3,₹426,₹800
"Klapp Double Shaft Badminton Rackets, with 20 Shuttlecock (with Net) -Multicolor - Set of 6",sports & fitness,Badminton,https://m.media-amazon.com/images/I/71UA11w-CiL._AC_UL320_.jpg,https://www.amazon.in/Klapp-Double-Badminton-Rackets-Shuttlecock/dp/B0913G1TPC/ref=sr_1_434?qid=1679216839&s=sports&sr=1-434,3.8,172,₹649,"₹1,899"
Asics Gel-Courtmov+ Men's Badminton Shoe - Azure/Butter,sports & fitness,Badminton,https://m.media-amazon.com/images/I/61oMT8DdsaL._AC_UL320_.jpg,https://www.amazon.in/Asics-Gel-Courtmov-Mens-Badminton-Shoe/dp/B0BVVMG5F8/ref=sr_1_435?qid=1679216839&s=sports&sr=1-435,,,"₹3,219","₹3,799"
"FEROC Fighter Aluminum Badminton Racquet Set of 2 with- 3 Pieces Feather SHUTTLES Badminton kit, Red",sports & fitness,Badminton,https://m.media-amazon.com/images/I/6151mW348FL._AC_UL320_.jpg,https://www.amazon.in/Fighter-Aluminum-Badminton-Feather-SHUTTLES/dp/B0857JM5BD/ref=sr_1_436?qid=1679216839&s=sports&sr=1-436,3.5,933,₹349,₹699
"Amazon Brand - Symactive Badminton Kit with 2 Racquets for Intermediate Players and Nylon Shuttles, S333",sports & fitness,Badminton,https://m.media-amazon.com/images/I/812D6PJq1LS._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Symactive-SYA_sibadxc_11-Badminton/dp/B08KV2JZRL/ref=sr_1_437?qid=1679216839&s=sports&sr=1-437,3.8,36,₹619,"₹1,179"
"Yonex AC148EX-3 Moist Super Badminton Grip, Yellow",sports & fitness,Badminton,https://m.media-amazon.com/images/I/61xZFvHP3hL._AC_UL320_.jpg,https://www.amazon.in/Yonex-AC148EX-3-Moist-Badminton-Yellow/dp/B0BGBK2GSF/ref=sr_1_438?qid=1679216839&s=sports&sr=1-438,3.0,1,₹988,"₹1,040"
"Li-Ning AKSP841-2SR Badminton Shorts for Men, Black/Gold",sports & fitness,Badminton,https://m.media-amazon.com/images/I/41fKFazlL1L._AC_UL320_.jpg,https://www.amazon.in/Li-Ning-AKSP841-2SR-Badminton-Shorts-Black/dp/B0BDVJ6BXN/ref=sr_1_439?qid=1679216839&s=sports&sr=1-439,2.0,1,₹749,₹999
"Yonex Voltric 25I Strung Badminton Racquet, 5U/G5 Blue, Graphite",sports & fitness,Badminton,https://m.media-amazon.com/images/I/61pzQJ9ZBCL._AC_UL320_.jpg,https://www.amazon.in/Yonex-Voltric-Strung-Badminton-Racquet/dp/B0B4NRFGTD/ref=sr_1_440?qid=1679216839&s=sports&sr=1-440,5.0,3,"₹1,899","₹2,990"
NONGI Combo Plus Plastic Badminton Shuttlecock Pack of 15(10Yellow + 5 White),sports & fitness,Badminton,https://m.media-amazon.com/images/I/71FfxvGL84L._AC_UL320_.jpg,https://www.amazon.in/NONGI-Plastic-Badminton-Shuttlecock-Yellow/dp/B082T3GS8K/ref=sr_1_441?qid=1679216839&s=sports&sr=1-441,3.4,425,₹349,₹550
Vector X CS-2040 Badminton Shoes (White-Black),sports & fitness,Badminton,https://m.media-amazon.com/images/I/31me0BCg5SL._AC_UL320_.jpg,https://www.amazon.in/Vector-CS-2040-Badminton-White-Black-Size-9/dp/B07HBZ6P2G/ref=sr_1_442?qid=1679216839&s=sports&sr=1-442,3.5,63,"₹1,259","₹1,790"
Yonex GR 777 Aluminum Strung Badminton Racquet(Red) with 3/4 Cover,sports & fitness,Badminton,https://m.media-amazon.com/images/I/51IbDDLfZmL._AC_UL320_.jpg,https://www.amazon.in/GR-777-Aluminum-Badminton-Racquet/dp/B07PZC691M/ref=sr_1_443?qid=1679216839&s=sports&sr=1-443,3.3,18,₹689,₹785
Yonex ET 903 Rubber Badminton Grip (Grey) Badminton Grip,sports & fitness,Badminton,https://m.media-amazon.com/images/I/61JExkx+0sL._AC_UL320_.jpg,https://www.amazon.in/Yonex-903-Rubber-Badminton-Grip/dp/B07P987QK2/ref=sr_1_444?qid=1679216839&s=sports&sr=1-444,4.0,199,₹174,₹199
