name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"GLUN Bolt Electronic Portable Fishing Hook Type Digital LED Screen Luggage Weighing Scale, 50 kg/110 Lb (Black)",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61ofVvpW2ZL._AC_UL320_.jpg,https://www.amazon.in/GLUN-Digital-Electronic-Portable-Weighing/dp/B07PK41FL4/ref=sr_1_5?qid=1679143885&s=luggage&sr=1-5,3.9,"18,662",₹278,₹899
Boldfit Shoe Bag for Travel & Storage Travel Organizer for Women & Men Travel Accessories Shoe Organizer Shoe Bags Pouches...,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71UlEDZPiCL._AC_UL320_.jpg,https://www.amazon.in/Boldfit-Organizer-Accessories-Travelling-Essentials/dp/B0BK1457X3/ref=sr_1_6?qid=1679143885&s=luggage&sr=1-6,4.5,453,₹199,₹599
"Storite 2 Pack Moisture Proof Nylon Large Size Underbed Storage Bag (54 x 46 x 28 cm) - Black, Rectangular",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81-bwn9uesL._AC_UL320_.jpg,https://www.amazon.in/Storite-Pack-Big-Underbed-Moisture/dp/B07B8K3RQK/ref=sr_1_7?qid=1679143885&s=luggage&sr=1-7,4.3,"15,905",₹699,"₹1,999"
GoTrippin Metal Luggage Weighing Scale Digital (Silver_ELS),accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71hsXSulLkL._AC_UL320_.jpg,https://www.amazon.in/GoTrippin-Machine-Luggage-Weighing-Portable/dp/B07Q822CWX/ref=sr_1_8?qid=1679143885&s=luggage&sr=1-8,4.4,"8,614",₹699,"₹1,200"
"Safari Pentagon Trolley Bags for Travel, 55 cm Cabin Suitcase, 4 Wheel Cyan Small Luggage for Men and Women, Polypropylene...",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/514xUT1xYVL._AC_UL320_.jpg,https://www.amazon.in/Safari-Pentagon-Polypropylene-55-Hardsided/dp/B097QP6L5K/ref=sr_1_9?qid=1679143885&s=luggage&sr=1-9,4.1,"1,522","₹1,999","₹7,775"
WildHorn Brown RFID Blocking Leather Wallet for Men I Ultra Strong Stitching I 6 Credit Card Slots I 2 Currency Compartmen...,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81vMec1lk+L._AC_UL320_.jpg,https://www.amazon.in/WildHorn-Brown-Wallet-WH2052-Crackle/dp/B07C3VH84K/ref=sr_1_10?qid=1679143885&s=luggage&sr=1-10,4.0,"33,466",₹285,"₹1,499"
Skybags Brat Black 46 Cms Casual Backpack,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/810s53kR8tL._AC_UL320_.jpg,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_11?qid=1679143885&s=luggage&sr=1-11,4.1,"3,751",₹649,"₹2,100"
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81KEKEDFUcL._AC_UL320_.jpg,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_12?qid=1679143885&s=luggage&sr=1-12,4.1,"52,238","₹1,199","₹2,300"
Boldfit Weight Machine For Luggage Weighing Scale For Luggage Capable Upto 50 Kg Weight Luggage Weight Machine Weighing Ma...,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61en24Ik00L._AC_UL320_.jpg,https://www.amazon.in/Boldfit-Machine-Luggage-Weighing-Capable/dp/B0BJZ5T23Z/ref=sr_1_13?qid=1679143885&s=luggage&sr=1-13,4.2,366,₹499,"₹1,499"
SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61kmCas5OCL._AC_UL320_.jpg,https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_14?qid=1679143885&s=luggage&sr=1-14,4.0,"17,985",₹299,₹799
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dim...,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/811AxL+qTpL._AC_UL320_.jpg,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_15?qid=1679143885&s=luggage&sr=1-15,4.3,"9,760",₹565,"₹1,199"
"Safari Pentagon Medium Trolley Bag, 65 cm Suitcase for Travel, 4 Wheel Cyan Luggage for Men and Women, Polypropylene Hard ...",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51zzUcG6EKL._AC_UL320_.jpg,https://www.amazon.in/Safari-Pentagon-Polypropylene-Hardsided-Luggage/dp/B097QP8JGZ/ref=sr_1_16?qid=1679143885&s=luggage&sr=1-16,4.3,875,"₹2,599","₹9,890"
Urban Forest Oliver Black RFID Blocking Leather Wallet for Men,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71jCRAMYlRL._AC_UL320_.jpg,https://www.amazon.in/Forest-Oliver-Blocking-Leather-Wallet/dp/B07XTJDJHN/ref=sr_1_17?qid=1679143885&s=luggage&sr=1-17,4.3,"10,756",₹499,"₹2,000"
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71JI8Q3Ln-L._AC_UL320_.jpg,https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_18?qid=1679143885&s=luggage&sr=1-18,3.9,"6,264",₹949,"₹3,895"
INOVERA (LABEL) Women Handbag,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71Raw8VUk5L._AC_UL320_.jpg,https://www.amazon.in/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC/ref=sr_1_19?qid=1679143885&s=luggage&sr=1-19,4.1,"7,143","₹1,249","₹1,999"
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81BCsKS7WuL._AC_UL320_.jpg,https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_20?qid=1679143885&s=luggage&sr=1-20,4.3,"5,146","₹1,131","₹2,899"
Sfane polyester 23 cms Duffle Bag(BG - 05 HALF LTSHOE COMPTT_grey),accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81H8JmdJIsS._AC_UL320_.jpg,https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_25?qid=1679143885&s=luggage&sr=1-25,4.3,"6,583",₹384,"₹1,199"
NAPA HIDE Tan Crunch Leather Wallet for Men,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/713Ny9d0LLL._AC_UL320_.jpg,https://www.amazon.in/Napa-Hide-Protected-Genuine-Quality/dp/B083TJBKCQ/ref=sr_1_26?qid=1679143885&s=luggage&sr=1-26,3.9,"30,868",₹299,"₹1,499"
Boldfit Waist Bag for Men Travel Bag for Men Chest Bag for Men Travel Fanny Pack for Men Waist Bag for Women Side Bag for ...,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71MT1XBQi-L._AC_UL320_.jpg,https://www.amazon.in/Boldfit-Travel-Accessories-Purse-Mobile/dp/B0BJZQ3ZR9/ref=sr_1_27?qid=1679143885&s=luggage&sr=1-27,4.7,376,₹299,₹799
"3M 1110 Ear Plugs Corded, Extra Soft, Reusable Earbuds Noise Cancellation, Soundproof Earplug Use For Underwater, Meditati...",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71MMT4HYIiL._AC_UL320_.jpg,https://www.amazon.in/3M-1110-Corded-Reduction-orange/dp/B00VTNZAXO/ref=sr_1_28?qid=1679143885&s=luggage&sr=1-28,3.7,"33,641",₹16,"₹1,600"
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for ...",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61egMfcDWlL._AC_UL320_.jpg,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_29?qid=1679143885&s=luggage&sr=1-29,3.9,"3,096",₹689,"₹2,000"
"Safari Pentagon Trolley Bags for Travel, 55 cm Cabin Suitcase, 4 Wheel Red Small Luggage for Men and Women, Polypropylene ...",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61PHfaMdP7L._AC_UL320_.jpg,https://www.amazon.in/Safari-Pentagon-Polypropylene-55-Hardsided/dp/B097L4GWB3/ref=sr_1_30?qid=1679143885&s=luggage&sr=1-30,4.3,"1,041","₹1,999","₹7,775"
URBAN FOREST Oliver Blue RFID Blocking Leather Wallet for Men,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/A1Ge+QwrYIL._AC_UL320_.jpg,https://www.amazon.in/Urban-Forest-Oliver-Leather-Wallet/dp/B07MX26G8P/ref=sr_1_31?qid=1679143885&s=luggage&sr=1-31,4.3,"40,138",₹499,"₹2,000"
"Kuber Industries Shoe Cover/String Bag Organizer|Shoe Print & Non Woven Material|Transparent Window|Size 43 x 30 Cm, Pack ...",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81FcsVYmXJL._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Travel-Organizer-CTMTC039483/dp/B084DWD41F/ref=sr_1_32?qid=1679143885&s=luggage&sr=1-32,4.5,"2,954",₹279,₹319
Fedra Epoch Nylon 55 litres Waterproof Strolley Duffle Bag 2 Wheels Luggage Bag Green White,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61yrh9SvoOL._AC_UL320_.jpg,https://www.amazon.in/litres-Waterproof-Strolley-Duffle-Luggage/dp/B08RBZWV9S/ref=sr_1_33?qid=1679143885&s=luggage&sr=1-33,3.5,"1,984",₹438,"₹2,299"
"Genie Iridescence School Bag for Girls, 17 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy Coll...",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71HWNZIjMvL._AC_UL320_.jpg,https://www.amazon.in/Genie-Iridescence-Multicolor-Backpack-Resistant/dp/B084VQLJL8/ref=sr_1_34?qid=1679143885&s=luggage&sr=1-34,4.0,"2,679",₹899,"₹2,339"
Half Moon 35 L Waterproof Laptop College School Office Bag Backpack for Men Women Boys Girls with 15.6 inch Padded Laptop ...,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81oUvlsYcnL._AC_UL320_.jpg,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_35?qid=1679143885&s=luggage&sr=1-35,3.9,"15,231",₹689,"₹1,799"
American Tourister Kamiliant Polypropylene Hard 68 Cms Luggage (Lg4 (0) 08 002_Grey),accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71G-raFeYsL._AC_UL320_.jpg,https://www.amazon.in/American-Tourister-Kamiliant-Harrier-Polypropylene/dp/B0BB2LX7LW/ref=sr_1_36?qid=1679143885&s=luggage&sr=1-36,4.0,233,"₹2,599","₹9,550"
"Storite 2 Pack Nylon Wardrobe Bag Underbed Moisture Proof Cloth Storage Organiser with Zippered Closure & Handle (Magenta,...",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91J8I2QLGiL._AC_UL320_.jpg,https://www.amazon.in/Storite-Pack-Wardrobe-Organizer-Magenta/dp/B07QRQZK1G/ref=sr_1_37?qid=1679143885&s=luggage&sr=1-37,4.0,"7,233",₹545,"₹2,199"
"TOWINO® Eye Mask for Sleep Eye Mask Super Smooth And Adjustable Strap- Super Soft & Comfortable for Women & Men, Blindfold...",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81-AHVmfXSL._AC_UL320_.jpg,https://www.amazon.in/Sleep-Adjustable-Comfortable-Travelling-Grey/dp/B0999HFWJ2/ref=sr_1_38?qid=1679143885&s=luggage&sr=1-38,4.3,"4,651",₹219,₹599
"Safari Hitech 35 Ltrs Water Resistant Backpack - Blue, L (Hitech19Cbblu)",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71hNHEiIfYL._AC_UL320_.jpg,https://www.amazon.in/Safari-HiTech-Water-Resistant-Backpack/dp/B09B27B1Q6/ref=sr_1_39?qid=1679143885&s=luggage&sr=1-39,3.9,894,₹999,"₹2,299"
WildHorn Blue Hunter Leather Wallet for Men I Top Grain Leather I RFID Protected I 11 Card Slots I 2 Transparent ID Window...,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71tZtxBhOJL._AC_UL320_.jpg,https://www.amazon.in/WildHorn%C2%AE-Protected-Genuine-Quality-Leather/dp/B07QBQ127Y/ref=sr_1_40?qid=1679143885&s=luggage&sr=1-40,4.0,"26,452",₹475,"₹2,499"
DEIN KLEIDER Men's Nylon Messenger Bag,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81wnCexA4tL._AC_UL320_.jpg,https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_41?qid=1679143885&s=luggage&sr=1-41,4.0,"4,558",₹349,"₹1,199"
NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/S...,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71FYclaewFL._AC_UL320_.jpg,https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_42?qid=1679143885&s=luggage&sr=1-42,4.0,"3,108",₹238,₹299
"Wolpin Pack of 10 Pcs Shoe Bag Cover for Shoe Storage & Travelling Drawstring Bags Waterproof, White",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61PoaoaIFeL._AC_UL320_.jpg,https://www.amazon.in/Wolpin-Storage-Travelling-Drawstring-Waterproof/dp/B0B3SG8RQD/ref=sr_1_43?qid=1679143885&s=luggage&sr=1-43,4.5,513,₹239,₹999
Bildos Cotton Unisex Super Breathable Cloth Face mask with Adjustable Ear Loop (Multicolour) - Pack of 12,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91-UyQ3GmLL._AC_UL320_.jpg,https://www.amazon.in/Bildos-Reusable-Breathable-Adjustable-Multicolour/dp/B097HPRNNC/ref=sr_1_44?qid=1679143885&s=luggage&sr=1-44,4.2,"16,345",₹299,₹999
