name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Feel it Comfortable Leatherite Casual/Formal Ballerina for Women's & Girl's - (1104-P),women's shoes,Ballerinas,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41BkuvvhGXL._AC_UL320_.jpg,https://www.amazon.in/Feel-Comfortable-Leatherite-Partywear-Ballerina/dp/B074V6MZX9/ref=sr_1_673?qid=1679211836&s=shoes&sr=1-673,4.1,46,₹551,₹999
Gliders (From Liberty) Womens Mac Ballet Flat,women's shoes,Ballerinas,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71KiuuTdnWL._AC_UL320_.jpg,https://www.amazon.in/Gliders-Liberty-Womens-Blue-Sneakers/dp/B00IUJ6ENU/ref=sr_1_674?qid=1679211836&s=shoes&sr=1-674,4.1,813,,₹399
Liberty Women ELENA-113 Casual BalletFlats,women's shoes,Ballerinas,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71l4DVWCnGL._AC_UL320_.jpg,https://www.amazon.in/Liberty-Elena-113-S-Blue-Ballet-Flats/dp/B08NFPFSYJ/ref=sr_1_675?qid=1679211836&s=shoes&sr=1-675,2.6,3,₹303,₹399
Max Women Ballerina Sneaker,women's shoes,Ballerinas,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51cj9B9TorL._AC_UL320_.jpg,https://www.amazon.in/Max-SU21WFBA2057PINK-Women-Ballerina-SU21WFBA2057PINK_PINK_36/dp/B091MJ2JDR/ref=sr_1_676?qid=1679211836&s=shoes&sr=1-676,3.8,14,₹655,₹799
Walkaroo Womens Belly Shoe Ballet Flat,women's shoes,Ballerinas,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81UE11xQ4BL._AC_UL320_.jpg,https://www.amazon.in/Walkaroo-Ladies-Grey-Belly-GC4953/dp/B09SB2NVQG/ref=sr_1_677?qid=1679211836&s=shoes&sr=1-677,4.2,5,,₹319
METMO Womens belli (Product Code:AC-14),women's shoes,Ballerinas,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51NnWFCgddL._AC_UL320_.jpg,https://www.amazon.in/METMO-Womens-belli-Size-Product/dp/B0BQ6W2DMZ/ref=sr_1_678?qid=1679211836&s=shoes&sr=1-678,,,₹299,₹499
Shoetokia Women Casual Stylish Bellies (OST629),women's shoes,Ballerinas,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61-ssKQtaLL._AC_UL320_.jpg,https://www.amazon.in/Shoetokia-Casual-Stylish-Bellies-OST629/dp/B09R1WJVH6/ref=sr_1_679?qid=1679211836&s=shoes&sr=1-679,5.0,1,₹299,₹999
YAHE Women's & Girls' Ballet Flat Shoes Y-73,women's shoes,Ballerinas,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71lV7c3VJfL._AC_UL320_.jpg,https://www.amazon.in/YAHE-Latest-Collection-Comfortable-Fashionable/dp/B084MH6GCG/ref=sr_1_680?qid=1679211836&s=shoes&sr=1-680,4.1,69,₹499,₹749
ACOSTAR Ladies Ballerinas,women's shoes,Ballerinas,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71UJDRVHRSL._AC_UL320_.jpg,https://www.amazon.in/ACOSTAR-Bellies-Lightweight-Ballet-Ballerinas_Peach_41/dp/B09V866P36/ref=sr_1_681?qid=1679211836&s=shoes&sr=1-681,3.7,31,₹825,"₹1,999"
Sixth Street Womens Women Casual Bellies Ballet Flat,women's shoes,Ballerinas,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71gMLJ7skTL._AC_UL320_.jpg,https://www.amazon.in/Sixth-Street-Comfortable-Lightweight-Flats-Pink/dp/B0B7ZW8MQF/ref=sr_1_682?qid=1679211836&s=shoes&sr=1-682,3.0,7,₹599,"₹1,999"
Daizy Collection Women's Formal Shoes | Ballet Flats Women's & Girl's Bellies,women's shoes,Ballerinas,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61DucPIym0L._AC_UL320_.jpg,https://www.amazon.in/Daizyella-Green-Women-Fashionable-Bellies/dp/B09GW67XZX/ref=sr_1_683?qid=1679211836&s=shoes&sr=1-683,3.3,173,₹419,₹799
Metro Womens Leather Ballerinas,women's shoes,Ballerinas,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61ZDBXD4LPL._AC_UL320_.jpg,https://www.amazon.in/Metro-Women-Leather-Ballerina-31-8860-12-40/dp/B07QH24N2Z/ref=sr_1_684?qid=1679211836&s=shoes&sr=1-684,3.0,9,,"₹1,990"
Flavia Womens Ain/38 Ballet,women's shoes,Ballerinas,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61jADq4YN2L._AC_UL320_.jpg,https://www.amazon.in/Flavia-Women-Ballet-Ain-38/dp/B0B5X3LVJ9/ref=sr_1_685?qid=1679211836&s=shoes&sr=1-685,5.0,2,₹476.01,"₹1,699"
Fabbmate Women's & Girl's Bellies,women's shoes,Ballerinas,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51RPP+FBhML._AC_UL320_.jpg,https://www.amazon.in/Fabbmate-Collection-Comfortable-Fashionable-Bellies/dp/B07W4JXX7G/ref=sr_1_686?qid=1679211836&s=shoes&sr=1-686,3.7,735,₹349,₹499
FLOOJO Multicolor Women's Flat Mules,women's shoes,Ballerinas,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31Oez1YyWrL._AC_UL320_.jpg,https://www.amazon.in/FLOOJO-Pink-Womens-Flat-Mules/dp/B0BKXMZLQZ/ref=sr_1_687?qid=1679211836&s=shoes&sr=1-687,,,₹349,₹999
Tryfeet Women's Classy Wedges Bellies (Pack of 1_1.5 Inch),women's shoes,Ballerinas,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71REft7OtLL._AC_UL320_.jpg,https://www.amazon.in/Tryfeet-Golden-Wedges-for-Women/dp/B07NZ6WJ6V/ref=sr_1_688?qid=1679211836&s=shoes&sr=1-688,3.9,20,₹599,₹999
