name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"SanDisk Ultra® microSDXC™ UHS-I Card, 64GB, 140MB/s R, 10 Y Warranty, for Smartphones","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/7180ZAZmERL._AC_UL320_.jpg,https://www.amazon.in/SanDisk-Ultra%C2%AE-microSDXCTM-Warranty-Smartphones/dp/B0BDRVFDKP/ref=sr_1_4?qid=1679132554&s=electronics&sr=1-4,4.4,"71,768",₹488,"₹1,000"
Samsung EVO Plus 128GB microSDXC UHS-I U3 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC128KA),"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/61fkOHNmzpL._AC_UL320_.jpg,https://www.amazon.in/Samsung-microSDXC-Memory-Adapter-MB-MC128KA/dp/B09MT84WV5/ref=sr_1_5?qid=1679132554&s=electronics&sr=1-5,4.3,"142,840",₹889,"₹2,699"
"SanDisk Ultra® microSDXC™ UHS-I Card, 128GB, 140MB/s R, 10 Y Warranty, for Smartphones","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/71jsEFJtRRL._AC_UL320_.jpg,https://www.amazon.in/SanDisk-Ultra%C2%AE-microSDXCTM-Warranty-Smartphones/dp/B0BDYVC5TD/ref=sr_1_6?qid=1679132554&s=electronics&sr=1-6,4.4,"71,768",₹868,"₹1,800"
"SanDisk Ultra microSD UHS-I Card 32GB, 120MB/s R","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/61MHVeEPw3L._AC_UL320_.jpg,https://www.amazon.in/SanDisk-Ultra-microSD-UHS-I-120MB/dp/B08L5HMJVW/ref=sr_1_7?qid=1679132554&s=electronics&sr=1-7,4.4,"71,768",₹369,₹700
"Tygot Adjustable Aluminium Alloy Tripod Stand Holder for Mobile Phones & Camera, 360 mm -1060 mm (42 Inch), 1/4 inch Screw...","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/51jx8hycZUL._AC_UL320_.jpg,https://www.amazon.in/Tygot-Adjustable-Aluminium-Tripod-Bracket/dp/B07P8LDZJ5/ref=sr_1_8?qid=1679132554&s=electronics&sr=1-8,3.3,"53,251",₹329,"₹1,999"
Samsung EVO Plus 64GB microSDXC UHS-I U1 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC64KA),"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/61rnCkrurxL._AC_UL320_.jpg,https://www.amazon.in/Samsung-microSDXC-Memory-Adapter-MB-MC64KA/dp/B09MT6XSFW/ref=sr_1_9?qid=1679132554&s=electronics&sr=1-9,4.3,"142,840",₹489,"₹1,899"
Fujifilm Instax Mini Picture Format Film (20 Shots),"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/61bTAgzzjBL._AC_UL320_.jpg,https://www.amazon.in/Fujifilm-Instax-Picture-Format-SHOTS/dp/B0000C73CQ/ref=sr_1_10?qid=1679132554&s=electronics&sr=1-10,4.4,"10,445",,₹999
"Syvo WT 3130 Aluminum Tripod (50 Inches), Universal Lightweight Tripod with Mobile Phone Holder Mount & Carry Bag for All ...","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/61H1dMNTSnL._AC_UL320_.jpg,https://www.amazon.in/Syvo-3130-Aluminum-Universal-Lightweight/dp/B07N42JB4S/ref=sr_1_11?qid=1679132554&s=electronics&sr=1-11,4.3,"28,644",₹799,"₹3,990"
"Gizga Essentials Professional 3-in-1 Cleaning Kit for Camera, Lens, Binocular, Laptop, TV, Monitor, Smartphone, Tablet (In...","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/81mP6za2sRL._AC_UL320_.jpg,https://www.amazon.in/Essentials-Gz-Ck-101-Professional-Micro-Fiber-Antibacterial/dp/B01IBRHE3E/ref=sr_1_12?qid=1679132554&s=electronics&sr=1-12,4.2,"25,215",₹249,₹499
"tizum HDMI to VGA Adapter/ Connector/ Converter Cable 1080P (Male to Female) for Media Players, Xbox, Projector, Computer,...","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/61F4szMc-gL._AC_UL320_.jpg,https://www.amazon.in/Adapter-Projector-Computer-Laptop-Projectors/dp/B085194JFL/ref=sr_1_16?qid=1679132554&s=electronics&sr=1-16,3.7,"11,431",₹259,₹499
Sounce Shutter Remote Control with Bluetooth Wireless Technology - Create Amazing Photos and Videos Hands-Free - Works wit...,"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/41ArVgmpKSS._AC_UL320_.jpg,https://www.amazon.in/Sounce-Bluetooth-Control-Compatible-BTCTROL/dp/B0922XL7SH/ref=sr_1_17?qid=1679132554&s=electronics&sr=1-17,4.4,"2,758",₹169,₹999
"DIGITEK® (DTR 260 GT) Gorilla Tripod/Mini 33 CM (13 Inch) Tripod for Mobile Phone with Phone Mount & Remote, Flexible Gori...","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/61wjRpSAYGL._AC_UL320_.jpg,https://www.amazon.in/DIGITEK%C2%AE-DTR-260-GT-Flexible/dp/B08LPJZSSW/ref=sr_1_18?qid=1679132554&s=electronics&sr=1-18,3.9,"22,166",₹399,₹995
Fujifilm Instax Mini Single Pack 10 Sheets Instant Film for Fuji Instant Cameras,"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/51fEftU7HAL._AC_UL320_.jpg,https://www.amazon.in/Fujifilm-Instax-Instant-Fuji-Cameras/dp/B00R1P3B4O/ref=sr_1_19?qid=1679132554&s=electronics&sr=1-19,4.5,"5,890",,₹549
TECHONTO 360° Degree Cell Phone Holder with Adjustable Clamp Phone Tripod Mount Adapter Compatible with Smartphones & All ...,"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/61ny+rqFQYL._AC_UL320_.jpg,https://www.amazon.in/TECHONTO-Adjustable-Adapter-Compatible-Smartphones/dp/B08W1KX225/ref=sr_1_20?qid=1679132554&s=electronics&sr=1-20,4.3,"2,241",₹195,₹699
"SanDisk Ultra® microSDXC™ UHS-I Card, 256GB, 150MB/s R, 10 Y Warranty, for Smartphones","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/517FFZjpVbL._AC_UL320_.jpg,https://www.amazon.in/SanDisk-Ultra%C2%AE-microSDXCTM-Warranty-Smartphones/dp/B0BDYW3RN3/ref=sr_1_21?qid=1679132554&s=electronics&sr=1-21,4.4,"71,768","₹1,659","₹3,500"
"Digitek DTR 550 LW (67 Inch) Tripod For DSLR, Camera |Operating Height: 5.57 Feet | Maximum Load Capacity up to 4.5kg | Po...","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/51qdv0vNyNL._AC_UL320_.jpg,https://www.amazon.in/Digitek-DTR-550-LW-Tripod/dp/B074CWD7MS/ref=sr_1_22?qid=1679132554&s=electronics&sr=1-22,4.4,"15,576","₹1,549","₹2,495"
Tygot Lightweight & Portable Portable 7 Feet (84 Inch) Long Tripod Stand with Adjustable Mobile Clip Holder for All Mobile...,"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/41NPQAhxOWS._AC_UL320_.jpg,https://www.amazon.in/Tygot-Lightweight-Portable-Aluminum-Photography/dp/B08JQ6CVJ3/ref=sr_1_23?qid=1679132554&s=electronics&sr=1-23,3.9,"24,830",₹399,"₹1,999"
"SanDisk Extreme microSD UHS I Card 128GB for 4K Video on Smartphones,Action Cams 190MB/s Read,90MB/s Write","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/815cRpgAN3L._AC_UL320_.jpg,https://www.amazon.in/SanDisk-Extreme-microSD-Smartphones-Action/dp/B0B2DD66GS/ref=sr_1_24?qid=1679132554&s=electronics&sr=1-24,4.5,"21,982","₹1,198","₹2,900"
"Amazon Basics High-Speed HDMI Cable - 10 Feet (Latest Standard) - Supports Ethernet, 3D, 4K video,Black","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/61GUctqz0-L._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-High-Speed-HDMI-Cable-Standard/dp/B014I8T0YQ/ref=sr_1_25?qid=1679132554&s=electronics&sr=1-25,4.4,"437,652",₹379,₹995
Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set To...,"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/61CHKsZkKzL._AC_UL320_.jpg,https://www.amazon.in/TIZUM-Slim-1-5m-HDMI-Cable/dp/B01M4GGIVU/ref=sr_1_26?qid=1679132554&s=electronics&sr=1-26,4.2,"12,457",₹199,₹699
"Amazon Basics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/71gEiWJNPeL._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-Flexible-HDMI-Cable-3-Foot/dp/B07KSMBL2H/ref=sr_1_27?qid=1679132554&s=electronics&sr=1-27,4.4,"437,652",₹269,₹700
HP 32GB Class 10 MicroSD Memory Card (U1 TF Card 32GB),"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/51XpKdZdyzL._AC_UL320_.jpg,https://www.amazon.in/HP-MicroSD-U1-TF-Card-32GB/dp/B07DJLFMPS/ref=sr_1_28?qid=1679132554&s=electronics&sr=1-28,4.0,"33,705",₹369,"₹1,600"
Tygot Gorilla Tripod/Mini 33 CM (13 Inch) Tripod for Mobile Phone with Phone Mount | Flexible Gorilla Stand for DSLR & Act...,"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/51I+SdOM9NL._AC_UL320_.jpg,https://www.amazon.in/Tygot-Gorilla-Tripod-Flexible-Cameras/dp/B07WCMQSXB/ref=sr_1_29?qid=1679132554&s=electronics&sr=1-29,3.9,"24,830",₹279,"₹1,999"
Tygot Gorilla Tripod/Mini 33 CM (13 Inch) Tripod for Mobile Phone with Phone Mount & Remote | Flexible Gorilla Stand for D...,"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/61h005AFsZL._AC_UL320_.jpg,https://www.amazon.in/Tygot-Gorilla-Tripod-Flexible-Cameras/dp/B095LVCCSX/ref=sr_1_30?qid=1679132554&s=electronics&sr=1-30,3.9,"24,830",₹345,"₹1,999"
"Gizga Essentials Professional 6-in-1 Cleaning Kit for Cameras & Sensitive Electronics (Includes: Air Blower, Cotton Swabs,...","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/41GdkPjUtGS._AC_UL320_.jpg,https://www.amazon.in/Essentials-GZ-CK-104-Professional-Cleaning-Micro-Fiber/dp/B01IBVCUNO/ref=sr_1_28?qid=1679132555&s=electronics&sr=1-28,4.2,"25,215",₹299,₹499
Sounce Cleaning Soft Brush Keyboard Cleaner 5-in-1 Multi-Function Computer Cleaning Tools Kit Corner Gap Duster Keycap Pul...,"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/61yMb5nnkBL._AC_UL320_.jpg,https://www.amazon.in/Sounce-Cleaning-Multi-Function-Bluetooth-Earphones/dp/B0BQDSZWFR/ref=sr_1_29?qid=1679132555&s=electronics&sr=1-29,4.6,201,₹99,₹999
Reliance Smart - E-Gift Card - Flat 1% Off - Redeemable in Stores,"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/51uNEMLqz0L._AC_UL320_.jpg,https://www.amazon.in/Reliance-Smart-Gift-Card-500/dp/B0B1MLHV6L/ref=sr_1_30?qid=1679132555&s=electronics&sr=1-30,4.2,51,₹500,"₹5,000"
Samsung EVO Plus 256GB microSDXC UHS-I U3 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC256KA),"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/71yD4EP3G4L._AC_UL320_.jpg,https://www.amazon.in/Samsung-microSDXC-Memory-Adapter-MB-MC256KA/dp/B09MT6SWDL/ref=sr_1_31?qid=1679132555&s=electronics&sr=1-31,4.3,"142,840","₹1,729","₹4,999"
"AmazonBasics microSDHC Memory Card with Full Size Adapter, A1, U1, Read Speed up to 98 MB/s, 32GB","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/71fnwTYD6jL._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-microSDHC-Memory-Adapter-Speed/dp/B0B9XV7KZX/ref=sr_1_32?qid=1679132555&s=electronics&sr=1-32,4.6,"21,341",₹339,₹900
"Amazon Basics High-Speed Braided HDMI Cable - 6 Feet - Supports Ethernet, 3D, 4K and Audio Return - Single Pack (Black)","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/61YaqGbQvjL._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-Braided-HDMI-Cable-6-Feet/dp/B075ZXHYBY/ref=sr_1_33?qid=1679132555&s=electronics&sr=1-33,4.4,"36,689",₹319,₹750
"Lapster 3 in 1 Screen Cleaning Kit with Brush and Micro Cloth for PC, laptops, LCD led mobiles and TV (80ML)","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/41UxnNbj6eL._AC_UL320_.jpg,https://www.amazon.in/Lapster-Screen-Cleaning-laptops-mobiles/dp/B096P4FRZB/ref=sr_1_34?qid=1679132555&s=electronics&sr=1-34,4.1,"1,034",₹180,₹999
SanDisk Extreme SD UHS I 64GB Card for 4K Video for DSLR and Mirrorless Cameras 170MB/s Read & 80MB/s Write,"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/814l26oR+7L._AC_UL320_.jpg,https://www.amazon.in/SanDisk-Extreme-Video-Mirrorless-Cameras/dp/B09X7DY7Q4/ref=sr_1_35?qid=1679132555&s=electronics&sr=1-35,4.5,"215,311",₹838,"₹1,800"
"SanDisk Ultra SDHC UHS-I Card 32GB 120MB/s R for DSLR Cameras, for Full HD Recording, 10Y Warranty","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/714FGJhnIuL._AC_UL320_.jpg,https://www.amazon.in/SanDisk-Ultra-UHS-I-Memory-SDSDUN4-032G-GN6IN/dp/B08GYG6T12/ref=sr_1_36?qid=1679132555&s=electronics&sr=1-36,4.4,"68,198",₹429,₹800
"HIFFIN® Helmet Chin Strap Mount with Mobile Clip & Screw Compatible with All Smart Phones Go pro Hero (Helmet Mount KIT, H...","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/71gXmrJQ-zL._AC_UL320_.jpg,https://www.amazon.in/HIFFIN%C2%AE-Helmet-Mobile-Compatible-Multipurpose/dp/B09MLNQ268/ref=sr_1_37?qid=1679132555&s=electronics&sr=1-37,3.4,"2,452",₹399,₹999
"SWAPKART 5-in-1 Cleaning Soft Brush Keyboard Cleaner, Multi-Function Computer Tools Kit Corner Gap Duster Key-Cap Puller f...","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/51L5QxMDopL._AC_UL320_.jpg,https://www.amazon.in/SWAPKART-Cleaning-Multi-Function-Bluetooth-Earphones/dp/B0BFHGS6MD/ref=sr_1_38?qid=1679132555&s=electronics&sr=1-38,4.6,702,₹149,₹499
Zerfa 5 in 1 Soft Brush Multi-Function Cleaning Tools Kit for Keyboard & Earphone Cleaner Soft High-Density Brush Set with...,"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/61--gkj9RqL._AC_UL320_.jpg,https://www.amazon.in/Zerfa-Multi-Function-Cleaning-Keyboard-High-Density/dp/B0B6SVYZJT/ref=sr_1_39?qid=1679132555&s=electronics&sr=1-39,4.2,947,₹199,₹799
