name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Electronic Spices 2.75 Inch 4ω (Ohm) 400w Max Power Dome Tweeter Speaker,car & motorbike,Car Electronics,https://m.media-amazon.com/images/I/61G5k3T0ffL._AC_UL320_.jpg,https://www.amazon.in/Electronic-Spices-Power-Tweeter-Speaker/dp/B0BN42M4H1/ref=sr_1_1153?qid=1679222070&s=electronics&sr=1-1153,,,₹129,₹199
"ZQWINT Bluetooth Car Adapter, Mini USB Bluetooth 5.0 Transmitter Receiver Wireless 3.5mm Aux Jack Adapter Hands-Free Car K...",car & motorbike,Car Electronics,https://m.media-amazon.com/images/I/51NLOKwNsLS._AC_UL320_.jpg,https://www.amazon.in/ZQWINT-Bluetooth-Transmitter-Receiver-Hands-Free/dp/B0BWV1FDKS/ref=sr_1_1154?qid=1679222070&s=electronics&sr=1-1154,,,₹219,₹999
PROTECTRON 6.35X32mm GLASS FUSE/INVERTER FUSE - 1A (Pack of 10),car & motorbike,Car Electronics,https://m.media-amazon.com/images/I/71St2ruv+NL._AC_UL320_.jpg,https://www.amazon.in/PROTECTRON-6-35X32mm-GLASS-FUSE-INVERTER/dp/B078XV4KGF/ref=sr_1_1155?qid=1679222070&s=electronics&sr=1-1155,3.8,32,,₹105
Cave Maruti Suzuki Male-Female Stereo Coupler Harness For All Suzuki Cars.,car & motorbike,Car Electronics,https://m.media-amazon.com/images/I/31npb8UF2yL._AC_UL320_.jpg,https://www.amazon.in/Maruti-Suzuki-Stereo-Coupler-Harness/dp/B09TRC11VH/ref=sr_1_1156?qid=1679222070&s=electronics&sr=1-1156,4.1,7,₹582,₹873
COVERBLACK Rubber Back Cover for Infinix X6815B / Zero 5G 2021 - Transparent,car & motorbike,Car Electronics,https://m.media-amazon.com/images/I/611zXbVxbNL._AC_UL320_.jpg,https://www.amazon.in/COVERBLACK-Infinix-X6815B-Zero-2021/dp/B0BXBJVVFQ/ref=sr_1_1157?qid=1679222070&s=electronics&sr=1-1157,,,₹148,₹799
"Die Hard Dual Purpose 360-Degree Rotating Mobile Car Mount Holder Stand for Windscreen, Dashboard & Table Desk with Double...",car & motorbike,Car Electronics,https://m.media-amazon.com/images/I/61lS3DsWxUL._AC_UL320_.jpg,https://www.amazon.in/Die-Hard-360-Degree-Windscreen-Dashboard/dp/B07XBCTSHV/ref=sr_1_1158?qid=1679222070&s=electronics&sr=1-1158,5.0,2,₹335,"₹1,299"
ESPtronics 4.1 Amplifier Board 12v DC Home Theater Kit Board Amplifier Circuit with Bass Boost and Treble Support TDA2030 ...,car & motorbike,Car Electronics,https://m.media-amazon.com/images/I/51fyQT38DJL._AC_UL320_.jpg,https://www.amazon.in/ESPtronics-Amplifier-Theater-Kit-Bluetooth/dp/B0BN3Z8S92/ref=sr_1_1159?qid=1679222070&s=electronics&sr=1-1159,,,₹540,₹998
WEON® Tiny Subwoofer Preamp kit with Volume Control for Tight Bass | Low Pass Filter | Bass Board | Inbuilt Gain | DC Sing...,car & motorbike,Car Electronics,https://m.media-amazon.com/images/I/71xLX6DuYKL._AC_UL320_.jpg,https://www.amazon.in/Subwoofer-Preamp-Control-Filter-Inbuilt/dp/B0BR558CX6/ref=sr_1_1160?qid=1679222070&s=electronics&sr=1-1160,3.1,4,₹313,₹396
"jiaruixin 6 Volt Kids Ride On Car Charger, 6V Battery Charger for Kid Trax Toddler Quad Hello Kitty SUV Battery Supply Pow...",car & motorbike,Car Electronics,https://m.media-amazon.com/images/I/61CoaaZnhsL._AC_UL320_.jpg,https://www.amazon.in/Universal-Mercedes-Benz-Childrens-Electric-Indicator/dp/B07BPBBNHQ/ref=sr_1_1161?qid=1679222070&s=electronics&sr=1-1161,4.2,131,₹593,₹999
Ceuta Retails Motorcycle Phone Holder with USB Charger 360 Rotation Bike Mobile Charger Fast Charging Bike Mobile Holder (...,car & motorbike,Car Electronics,https://m.media-amazon.com/images/I/41p7LZlyhNS._AC_UL320_.jpg,https://www.amazon.in/Ceuta-Retails-Degree-Rotating-Charger/dp/B07HXNR54J/ref=sr_1_1162?qid=1679222070&s=electronics&sr=1-1162,3.1,389,₹440,"₹1,599"
