name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Clean Cham® Liquid Absorbing Chamois Cloth for Car Cleaning Microfiber Cloth Small 1 Piece 43 CM x 32 CM,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/51QpBpTTBQL._AC_UL320_.jpg,https://www.amazon.in/Clean-Absorbing-Chamois-Cleaning-Microfiber/dp/B0BC3Y284D/ref=sr_1_577?qid=1679222425&s=automotive&sr=1-577,3.4,20,₹213,₹350
KHADIJA 1200W 7 Inch Electric Car Polisher Machine 6 Months Warranty Combo With Backup Pad And Wool Buffing Pad Double Ins...,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71zP3rSXR0L._AC_UL320_.jpg,https://www.amazon.in/Khadija-Electric-Insulated-Adjustment-Multicolour/dp/B07KTYFJBD/ref=sr_1_578?qid=1679222425&s=automotive&sr=1-578,3.9,534,"₹3,900","₹7,999"
"VMTC Tap Connector Set (2 Quick Connector, 1 tap Connector & Adapter) for Gardening & Pressure Washer Like Karchre, Bosch,...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71niDOUbw8L._AC_UL320_.jpg,https://www.amazon.in/VMTC-Connector-Adapter-Gardening-Pressure/dp/B07PB9ZMNS/ref=sr_1_579?qid=1679222425&s=automotive&sr=1-579,4.2,757,₹559,₹999
KARCHER K 2.050 HIGH Pressure CAR Washer,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/51ODU7VRAeL._AC_UL320_.jpg,https://www.amazon.in/KARCHER-2-050-HIGH-Pressure-Washer/dp/B07FL97L98/ref=sr_1_580?qid=1679222425&s=automotive&sr=1-580,4.0,489,"₹6,398","₹10,999"
3m Car Care Cream Wax & 3m Microfiber Cloth,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/51Pdde9M1RL._AC_UL320_.jpg,https://www.amazon.in/Car-Care-Cream-Microfiber-Cloth/dp/B01M7X9248/ref=sr_1_581?qid=1679222425&s=automotive&sr=1-581,4.3,341,₹780,"₹1,034"
Wavex® Rubbing Compound Heavy Cut (460gm) Super Heavy Hard Cut,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71JIHONLGjL._AC_UL320_.jpg,https://www.amazon.in/WaveX-RC1460-Heavy-Rubbing-Compound/dp/B0733CL9B9/ref=sr_1_582?qid=1679222425&s=automotive&sr=1-582,3.4,301,₹338.20,₹357
RESIL VISTA AC Vent Kleen Hygiene Foam (450ml),car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/51JCL40q1SL._AC_UL320_.jpg,https://www.amazon.in/RESIL-VISTA-Vent-Kleen-Hygiene/dp/B08FXRRNFX/ref=sr_1_583?qid=1679222425&s=automotive&sr=1-583,3.7,69,,₹590
Livronic® Removable Telescopic Car Wax Drag Nano Fiber Car Wash Brush Car Dusting Tool Car Mop Wax Dash Duster Exterior In...,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71gcuOXbq8L._AC_UL320_.jpg,https://www.amazon.in/Livronic%C2%AE-Removable-Telescopic-Exterior-Interior/dp/B09TZ61961/ref=sr_1_584?qid=1679222425&s=automotive&sr=1-584,3.2,15,₹289,₹999
Wavex Grit Safe and Detailing Car Wash Bucket,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/81PECLty8zL._AC_UL320_.jpg,https://www.amazon.in/Wavex-Grit-Guard-Detailing-Bucket/dp/B08QGK8GRV/ref=sr_1_585?qid=1679222425&s=automotive&sr=1-585,4.0,137,₹793,"₹1,400"
"foxcare Leather Cleaner and Leather Detailer Kit for Use on Leather Apparel, Furniture, Car Interiors, Shoes, Boots, Bags...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/81zYbh9Dy+L._AC_UL320_.jpg,https://www.amazon.in/foxcare-Leather-Detailer-Furniture-Interiors/dp/B09ZLHV6FB/ref=sr_1_586?qid=1679222425&s=automotive&sr=1-586,4.1,9,₹299,"₹1,398"
FLOJOY Asian Pumps & Machineries 12V Self Priming & Automatic High Pressure Washer with Adjustable Spray Gun Power Jet Was...,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/61Ygqv--jmL._AC_UL320_.jpg,https://www.amazon.in/Machineries-Pressure-Adjustable-Cleaner-Without/dp/B09ZJ7BDFJ/ref=sr_1_587?qid=1679222425&s=automotive&sr=1-587,4.2,11,"₹2,900","₹4,500"
"Nourish 4 Pack Anti-Vibration Washer Pads, Shock Absorbing Washer Pads, 4x4 Inches, Non-Skid Protector Mat for Washing Mac...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71jBbtHZEzL._AC_UL320_.jpg,https://www.amazon.in/Nourish-Anti-Vibration-Absorbing-Non-Skid-Protector/dp/B08W7T2HGY/ref=sr_1_588?qid=1679222425&s=automotive&sr=1-588,3.4,245,₹274,₹399
"Kapicon KP-40X High Pressure Car Washer Pump, Motive Power 2000 watt and max Pressure 150 bar with All in one Combo Access...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/81+xOWEVtmL._AC_UL320_.jpg,https://www.amazon.in/Kapicon-KP-40X-Pressure-Machine-Accessories/dp/B096PD7VTR/ref=sr_1_589?qid=1679222425&s=automotive&sr=1-589,4.1,294,"₹9,767","₹14,999"
ZANTEX Presents Microfiber Duster Accessory Combo Pack for Car Washing & Cleaning (Pack of 2),car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/81BfgsoNX5S._AC_UL320_.jpg,https://www.amazon.in/ZANTEX-Presents-Microfiber-Intense-Cleaning_1/dp/B08PKNW6YL/ref=sr_1_590?qid=1679222425&s=automotive&sr=1-590,3.6,173,₹449,₹799
Shell Microfibre Cloth 50X50 Dual,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/51X6AgSPmUL._AC_UL320_.jpg,https://www.amazon.in/Shell-Microfibre-Cloth-50X50-Dual/dp/B08BPVWD5X/ref=sr_1_591?qid=1679222425&s=automotive&sr=1-591,4.9,10,,₹653
"Wavex Wonder Wash Car Shampoo (5 kg) pH Neutral Formula For Safe, Spot Free Cleaning - Honey Thick, Luxurious Suds That Al...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71AIiXRrpRL._AC_UL320_.jpg,https://www.amazon.in/WaveX-WW5K-Wonder-Wash-Shampoo/dp/B00XCCPIWS/ref=sr_1_592?qid=1679222425&s=automotive&sr=1-592,4.3,400,"₹1,290","₹1,931"
Bosch Aquatak 130 1700-Watt High Pressure Washer (Green) with F016800360 6m High Pressure Hose (Black) Combo,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/51B6bwVdXpL._AC_UL320_.jpg,https://www.amazon.in/Bosch-Aquatak-1700-Watt-Pressure-F016800360/dp/B0828XC3GL/ref=sr_1_593?qid=1679222425&s=automotive&sr=1-593,4.3,82,"₹15,159","₹22,118"
RESIL VISTA Max Cut & Glaze,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/61K30FbIC9L._AC_UL320_.jpg,https://www.amazon.in/RESIL-VISTA-Max-Cut-Glaze/dp/B08RDQCXYZ/ref=sr_1_594?qid=1679222425&s=automotive&sr=1-594,3.2,127,,₹185
"SOBBY Microfiber Car Cleaning Cloths Set of 5 for Detailing & Polishing,- 40 cm X 40 cm - Multicolor",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/81Ogb1oowuL._AC_UL320_.jpg,https://www.amazon.in/Microfiber-Cleaning-Detailing-Polishing-Muticolor/dp/B07BTWQ3TF/ref=sr_1_595?qid=1679222425&s=automotive&sr=1-595,4.2,529,₹320,₹599
Car Accessories in 10PCS/1Set Car Wiper Detergent Effervescent Tablets Washer Auto Windshield Cleaner Glass Wash Cleaning ...,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/51yx74reXOL._AC_UL320_.jpg,https://www.amazon.in/Accessories-Detergent-Effervescent-Windshield-Cleaning/dp/B09P58917N/ref=sr_1_596?qid=1679222425&s=automotive&sr=1-596,3.5,35,₹138,₹299
"SOFTSPUN Microfiber Drying Cloth, 40x40 Cms 2Pcs Waffle Weave Towel Set 400 GSM Multicolour Super Absorbent Lint & StreakF...",car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/91v3GRm9ppL._AC_UL320_.jpg,https://www.amazon.in/SOFTSPUN-Microfiber-Multi-Colour-Absorbent-Streak-Free/dp/B082HYG42Y/ref=sr_1_597?qid=1679222425&s=automotive&sr=1-597,4.3,986,₹269,₹629
zhart Metal Polishing Compound Rouge bar for polishing Cleaning Abrasive Finishing Stropping Buffing Green for Fine Finish...,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71QCg2VMSSL._AC_UL320_.jpg,https://www.amazon.in/zhart-Polishing-polishing-Finishing-Stropping/dp/B08768D2QR/ref=sr_1_598?qid=1679222425&s=automotive&sr=1-598,4.0,363,₹302,₹999
Aimex High Pressure Washer with Induction Motor 1800 Watts,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/71cNSonlgYL._AC_UL320_.jpg,https://www.amazon.in/Aimex-Pressure-Washer-Induction-Motor/dp/B08GKP2CMF/ref=sr_1_599?qid=1679222425&s=automotive&sr=1-599,4.2,364,"₹7,899","₹10,999"
JPT New F5 1800W 160 BAR Heavy Duty Pressure CAR Washer,car & motorbike,Car & Bike Care,https://m.media-amazon.com/images/I/81BQqdR8MlL._AC_UL320_.jpg,https://www.amazon.in/JPT-Proffessional-2300W-Pressure-Washer/dp/B07FL97N83/ref=sr_1_600?qid=1679222425&s=automotive&sr=1-600,4.1,761,"₹7,148","₹10,859"
