name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Tusker Cricket Bat Toe Protector, Self Adhesive Sheet, Transparent",sports & fitness,Cricket,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81tyO0mXpmL._AC_UL320_.jpg,https://www.amazon.in/Tusker-Cricket-Bat-Toe-Protector/dp/B07NX23L24/ref=sr_1_73?qid=1679216670&s=sports&sr=1-73,4.1,289,₹235,₹399
"Amazon Brand - Symactive Heavy Tennis Cricket Ball, Set of 6 (Rubber , Rreen , Standard Size)",sports & fitness,Cricket,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71M0mbQDUJL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Symactive-absymkop1104-Cricket/dp/B08R1HNQNR/ref=sr_1_74?qid=1679216670&s=sports&sr=1-74,4.1,153,₹349,₹579
Lycan Safety Anti Crack Water Proof Cricket Bat Face Protection Fiber Tape Roll 34 mm,sports & fitness,Cricket,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61mZy1nOYqL._AC_UL320_.jpg,https://www.amazon.in/Lycan-Safety-Crack-Cricket-Protection/dp/B07Y815VPH/ref=sr_1_75?qid=1679216670&s=sports&sr=1-75,4.2,204,₹219,₹449
A2Z HUB Wooden Cricket Stumps Set of 6 with 4 bails (Wooden Color),sports & fitness,Cricket,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71JDTz0sogL._AC_UL320_.jpg,https://www.amazon.in/Wooden-Cricket-Stumps-bails-Color/dp/B07ZC1YD9B/ref=sr_1_76?qid=1679216670&s=sports&sr=1-76,3.9,7,₹495,₹699
Xtroke Popular Willow Scoop Cricket Bat for All Tennis Ball (Full Size),sports & fitness,Cricket,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51QE-jmc55L._AC_UL320_.jpg,https://www.amazon.in/Xtroke-Popular-Willow-Cricket-Bat/dp/B0B31F3753/ref=sr_1_77?qid=1679216670&s=sports&sr=1-77,2.4,63,₹496,"₹1,249"
"Headly Rubber Cricket Tennis Ball(Pack of 1,Light Yellow)",sports & fitness,Cricket,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51wwW83QfqL._AC_UL320_.jpg,https://www.amazon.in/Headly-Light-Yellow-Cricket-Tennis/dp/B07Q1R2DZL/ref=sr_1_78?qid=1679216670&s=sports&sr=1-78,4.2,735,,₹90
GM Linseed Oil Cricket 100Ml,sports & fitness,Cricket,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71tXhCvcvaL._AC_UL320_.jpg,https://www.amazon.in/GM-Linseed-Oil-Cricket-100Ml/dp/B00LAS930Y/ref=sr_1_79?qid=1679216670&s=sports&sr=1-79,4.2,"2,399",,
Rainox Cricket Leg Guard Pad Skin Cover/Outer Skin (1 Pair),sports & fitness,Cricket,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41JD0xUFOtL._AC_UL320_.jpg,https://www.amazon.in/Rainox-Cricket-Guard-Cover-Outer/dp/B09GXHKZLH/ref=sr_1_80?qid=1679216670&s=sports&sr=1-80,4.0,221,,₹289
"Rishabh Enterprises Hub Rubber Tennis Ball for Cricket - Lightweight, Durable for Cricket / Tennis Training (Red) Pack of 12",sports & fitness,Cricket,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61h+BgHZBuL._AC_UL320_.jpg,https://www.amazon.in/Rishabh-Enterprises-Rubber-Tennis-Cricket/dp/B0BHX8DG25/ref=sr_1_81?qid=1679216670&s=sports&sr=1-81,2.6,24,₹260,₹999
T2F Unisex-Child Cotton Hooded Neck Sweatshirt,sports & fitness,Cricket,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71lEpwDBytL._AC_UL320_.jpg,https://www.amazon.in/T2F-Girls-Sweatshirt-BYS-SS-10_Multicolor_3-4-Years/dp/B07WXJK1J4/ref=sr_1_82?qid=1679216670&s=sports&sr=1-82,4.0,"9,530",₹189,"₹1,800"
