name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Dog Shampoo & Puppy Shampoo - Naturally Organic Dog Shampoo for Smelly Dogs Grooming Products for Dogs, Deshedding Shampoo...",pet supplies,Dog supplies,https://m.media-amazon.com/images/I/615jTsuszSL._AC_UL320_.jpg,https://www.amazon.in/Dog-Shampoo-Puppy-Naturally-Deshedding/dp/B09CV7MXFL/ref=sr_1_73?qid=1679214773&s=pet-supplies&sr=1-73,3.9,"1,020",₹189,₹598
QIQI® Dog Bath Brush Body Scrubber Shampoo Dispenser Tick Remover for Shower Bathing and Shedding Soft Silicone Bristles B...,pet supplies,Dog supplies,https://m.media-amazon.com/images/I/41pnFuyp-JL._AC_UL320_.jpg,https://www.amazon.in/Scrubber-Dispenser-Shedding-Silicone-Multicolor/dp/B09Z68ZF8F/ref=sr_1_74?qid=1679214773&s=pet-supplies&sr=1-74,4.1,226,₹199,₹599
"Foodie Puppies Anti-Bacterial Pet Wet Wipes for Dogs, Puppies, & Pets with Fresh Apple Scent 6""x 8"" - Pack of 100 Wipes |(...",pet supplies,Dog supplies,https://m.media-amazon.com/images/I/716WunDd3pL._AC_UL320_.jpg,https://www.amazon.in/Foodie-Puppies-Wipes-Fresh-Apple/dp/B088PWQ9XB/ref=sr_1_75?qid=1679214773&s=pet-supplies&sr=1-75,4.3,465,₹399,₹998
"MS Pet House Rawhide Dog Chew Bone For Young Dogs, Beef Flavor (3 Inches Pack of 36 Bones)",pet supplies,Dog supplies,https://m.media-amazon.com/images/I/61wFUpTwCGL._AC_UL320_.jpg,https://www.amazon.in/Petcare-Rawhide-Chew-Inches-Bones/dp/B08BZXHHDD/ref=sr_1_76?qid=1679214773&s=pet-supplies&sr=1-76,4.3,"1,447",₹464,"₹1,099"
"Pedigree PRO Adult Dry Dog Food for Large Breed Active Dog, 3kg Pack",pet supplies,Dog supplies,https://m.media-amazon.com/images/I/81uLWqi+o+L._AC_UL320_.jpg,https://www.amazon.in/Pedigree-Expert-Nutrition-Active-Onwards/dp/B077NDXD8P/ref=sr_1_77?qid=1679214773&rdc=1&s=pet-supplies&sr=1-77,4.4,"2,318","₹1,044","₹1,160"
"Royal Canin Labrador Pellet Adult Dog Food, Meat Flavor, 3 Kg",pet supplies,Dog supplies,https://m.media-amazon.com/images/I/511kC8zTF1L._AC_UL320_.jpg,https://www.amazon.in/Royal-Canin-02RCL3-Labrador-Adult/dp/B000T5KJ5M/ref=sr_1_78?qid=1679214773&s=pet-supplies&sr=1-78,4.4,"4,559","₹2,340","₹2,600"
"PETLICIOUS & MORE Adult Natural Twisted Rawhide Chew Sticks For Dog, Beef (1000 Gm)",pet supplies,Dog supplies,https://m.media-amazon.com/images/I/71E2UMqNElL._AC_UL320_.jpg,https://www.amazon.in/Petlicious-More-Natural-Twisted-Rawhide/dp/B088PLWLZ6/ref=sr_1_79?qid=1679214773&s=pet-supplies&sr=1-79,4.2,"1,678",₹499,₹800
"Peggy 11 Adjustable Pet Feeder Raised Dog Food Bowl, Water Bowls, Dog Feeding Station H-Base Double Bowl Stand Two Stainle...",pet supplies,Dog supplies,https://m.media-amazon.com/images/I/61LDe2DJneL._AC_UL320_.jpg,https://www.amazon.in/Adjustable-Feeding-Station-Stainless-Removable/dp/B0B8S5NBLF/ref=sr_1_80?qid=1679214773&s=pet-supplies&sr=1-80,4.7,"17,586",₹629,₹999
Medfly Healthcare Defender Plus Dewormer for Dogs Of All Life Stages (10 Tablets),pet supplies,Dog supplies,https://m.media-amazon.com/images/I/819h+K3eFdL._AC_UL320_.jpg,https://www.amazon.in/Medfly-Healthcare-Plus-Dewormer-Dogs/dp/B07GFDQCJ7/ref=sr_1_81?qid=1679214773&s=pet-supplies&sr=1-81,4.2,"1,434",₹345,₹600
AmazonBasics Two Door Top Load Pet Kennel (23-inch),pet supplies,Dog supplies,https://m.media-amazon.com/images/I/71ZmCFU7pqL._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-Door-Load-Kennel-23-inch/dp/B00OP6SVJW/ref=sr_1_82?qid=1679214773&s=pet-supplies&sr=1-82,4.5,"32,148","₹1,599","₹2,800"
