name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
iSTAR Stainless Steel 304 Grade Foldable Towel Hanger for Bathroom/Towel Rod/Bar/Bathroom Accessories(24inch-Chrome) - Pac...,home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/615uxWLcWjL._AC_UL320_.jpg,https://www.amazon.in/iSTAR-Stainless-Foldable-Accessories-24inch-Chrome/dp/B0B54QF9K2/ref=sr_1_337?qid=1679212904&s=kitchen&sr=1-337,4.5,55,₹544,"₹1,499"
Lukzer Engineered Wood Computer Desk with One Tier Shelves Laptop Study Table for Office Home Workstation Writing Modern D...,home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61959chemPL._AC_UL320_.jpg,https://www.amazon.in/Lukzer-Engineered-Computer-Shelves-Workstation/dp/B0BPYBT4TB/ref=sr_1_338?qid=1679212904&s=kitchen&sr=1-338,3.7,58,"₹2,690","₹4,990"
"Tiipro Prayer Mat (Black, Polyester, Standard, 1 Piece)",home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61SEO-TT07L._AC_UL320_.jpg,https://www.amazon.in/Tiipro-Polyester-Portable-Muslim-Standard/dp/B07KK8VJKR/ref=sr_1_339?qid=1679212904&s=kitchen&sr=1-339,4.2,414,₹181,₹349
GRIVAN Multipurpose Stainless Steel Double Layer Shelf with Towel Rod I Multipurpose Wall Mount Bath Shelf Organizer l Bat...,home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61-0Yvi-8DS._AC_UL320_.jpg,https://www.amazon.in/GRIVAN-Stainless-Multipurpose-Organizer-Accessories-Chrome/dp/B096ZK3GZY/ref=sr_1_340?qid=1679212904&s=kitchen&sr=1-340,4.0,47,₹999,"₹3,499"
"SPINEHEAL MATTRESS Spineheal Box Type Soft Cotton Foldable Bed Mattress, Firm Gadda For Floor & Bed, Double Size Mattress...",home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71AsgBnGLtL._AC_UL320_.jpg,https://www.amazon.in/SPINEHEAL-MATTRESS-Cotton-Mattress-Firm/dp/B0B5N4SL74/ref=sr_1_341?qid=1679212904&s=kitchen&sr=1-341,3.3,396,"₹1,613","₹1,699"
EQUAL 3 Inch Universally Compatible Office Chair Caster Wheels (Set of 5) - Rollerblade Style,home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71YYja2920L._AC_UL320_.jpg,https://www.amazon.in/EQUAL-Office-Chair-Caster-Wheels/dp/B084RN5ZK8/ref=sr_1_342?qid=1679212904&s=kitchen&sr=1-342,4.6,829,"₹1,130","₹1,899"
WallDaddy - Self Adhesive Wall Mirror Stickers Big Size (30x20) Cm Frameless Wall Stickers | Mirror for Bathroom | Bedroom...,home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81-u-jTgn2L._AC_UL320_.jpg,https://www.amazon.in/WallDaddy-Adhesive-Frameless-B-BasinMirror-Rectangular/dp/B0BT7XXP83/ref=sr_1_343?qid=1679212904&s=kitchen&sr=1-343,1.6,6,₹229,₹849
"ELV Direct Tabletop Vertical Laptop Stand Holder, Desktop Aluminum Lapdesk Laptop Stand with Adjustable Dock Size, Fits Al...",home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61g3dNuGRkL._AC_UL320_.jpg,https://www.amazon.in/ELV-Direct-Vertical-Adjustable-VERTCL-Lap-STD-SML/dp/B09LCY4M26/ref=sr_1_344?qid=1679212904&s=kitchen&sr=1-344,4.3,674,₹799,"₹1,999"
"Amazon Brand - Solimo - Multipurpose Rack for Shoes and Clothes, 8 Racks, Black",home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/715wwm0l3SL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Solimo-Multipurpose-Clothes/dp/B0B9811KST/ref=sr_1_345?qid=1679212904&s=kitchen&sr=1-345,3.5,27,"₹1,064.86","₹6,299"
"Spineheal 3 Inch Dual Side Reversible Sigle Bed Size Mattress, 3 Fold Firm Orthopedic; Travelling or Picnic Mattress (Blu...",home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81l98RNwVDL._AC_UL320_.jpg,https://www.amazon.in/Spineheal-Reversible-Mattress-Orthopedic-Travelling/dp/B0BSC6B2PV/ref=sr_1_346?qid=1679212904&s=kitchen&sr=1-346,3.7,19,"₹1,519","₹2,599"
Fulminare Self-Adhesive Aluminium Bathroom Corner Shelf Rack Bathroom Corner Organizer Stand Bathroom Organisers Storage R...,home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81JRpSeIYpL._AC_UL320_.jpg,https://www.amazon.in/Fulminare-Self-Adhesive-Aluminium-Organizer-Organisers/dp/B0BFB96XHK/ref=sr_1_347?qid=1679212904&s=kitchen&sr=1-347,4.4,305,"₹1,299","₹1,999"
Wolpin Plastic Hanger Towel Hanger/Holder for Bathroom Self Adhesive Towel Stand/Rack Bathroom Accessories Towel Bar (25.7...,home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71MYInTvD4L._AC_UL320_.jpg,https://www.amazon.in/Wolpin-Plastic-Bathroom-Adhesive-Accessories/dp/B09S1FNM1T/ref=sr_1_348?qid=1679212904&s=kitchen&sr=1-348,3.8,186,₹279,₹999
"Rylan Wall Shelf for Living Room, Metallic Gold White Wall Mounted Shelves, Home Decor Items for Living Room/Bedroom, Set ...",home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61YMC6+FhqL._AC_UL320_.jpg,https://www.amazon.in/Rylan-Metallic-Mounted-Shelves-Bedroom/dp/B0BT9TSDD9/ref=sr_1_349?qid=1679212904&s=kitchen&sr=1-349,4.3,78,₹499,₹999
Cane Crafts Bamboo Bait Wooden Shoe Rack Slipper and Shoes Stand Multi-Purpose Rack Decorative Planter Stand Cane Storage ...,home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yymzx4FdL._AC_UL320_.jpg,https://www.amazon.in/Enterprises-Bamboo-Slipper-Planter-Bookshelf/dp/B09HBZ5NGB/ref=sr_1_350?qid=1679212904&s=kitchen&sr=1-350,3.3,163,"₹1,019","₹1,999"
Plantex Bathroom Accessories-Stainless Steel 304 Grade Folding Towel Rack/Towel Hanger/Bathroom Organizer(24 Inch-Chrome),home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61D114hxxTL._AC_UL320_.jpg,https://www.amazon.in/Plantex-Premium-Stainless-Bathroom-Accessories/dp/B082QZ3RSJ/ref=sr_1_351?qid=1679212904&s=kitchen&sr=1-351,4.0,570,"₹1,399","₹3,799"
"TABLE MAGIC Urban Raiser Laptop Table Mat Finish 8 Adjustable Heights, Tall Boy Model Can be Used on Sitting and Standing ...",home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71z1kfBCkUL._AC_UL320_.jpg,https://www.amazon.in/TABLE-MAGIC-Adjustable-Standing-Position/dp/B0BN19QSPG/ref=sr_1_352?qid=1679212904&s=kitchen&sr=1-352,4.3,28,"₹2,989","₹4,490"
"BDMP 3 Shelves Shoe Stand Collapsible Storage Shoe Stand Storage Rack of Footwear, Books, Toys, Clothes Plastic Shoe Stand...",home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61sDrHke87L._AC_UL320_.jpg,https://www.amazon.in/BDMP-Shelves-Collapsible-Storage-Footwear/dp/B0BVBN2ZBD/ref=sr_1_353?qid=1679212904&s=kitchen&sr=1-353,1.7,8,₹299,₹599
"Genuine Decor 18 Inch Sheesham Wood Floating Shelves for Wall Set of 3, Rustic Wall Mounted Ledge Shelf for Bathroom, Bedr...",home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61ftPN+jalL._AC_UL320_.jpg,https://www.amazon.in/Genuine-Decor-Floating-Shelves-Bathroom/dp/B08MDZX9NR/ref=sr_1_354?qid=1679212904&s=kitchen&sr=1-354,4.2,792,"₹1,399","₹4,999"
"Kuber Industries Traditional Carpet/Pooja Mat|Square Shape & Soft Velvet Material|Maditation Prayer Mat|Size 60 x 60 CM,Pa...",home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/912z6+e4yRL._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Velvet-Pooja-Mat/dp/B01N5F9LU6/ref=sr_1_355?qid=1679212904&s=kitchen&sr=1-355,4.1,759,₹147,₹169
"StarAndDaisy K80 Adjustable Height, Plastic Finish Multi-Functional Kids Study Table with Book Holder, Drawer, Extra Large...",home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51nozAnah7L._AC_UL320_.jpg,https://www.amazon.in/StarAndDaisy-Adjustable-Multi-Functional-Desktop-Light%C3%82/dp/B08FBBP5XG/ref=sr_1_356?qid=1679212904&s=kitchen&sr=1-356,4.1,"1,101","₹5,699","₹9,999"
Bharat Sales Vinyl Adjustable Height Control Chair (Brown),home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41b0zi94czL._AC_UL320_.jpg,https://www.amazon.in/Bharat-Sales-Adjustable-Height-Control/dp/B08VJ68429/ref=sr_1_357?qid=1679212904&s=kitchen&sr=1-357,3.3,109,₹499,"₹1,199"
"MOLIRA Foldable Foam Mattress Single Bed| Folding Single Bed Matterss for Floor, Travelling, Light Weight (Multicolor 1, 3...",home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61U-f688fhL._AC_UL320_.jpg,https://www.amazon.in/MOLIRA-Foldable-Mattress-Travelling-Multicolor/dp/B0BPBSKSPN/ref=sr_1_358?qid=1679212904&s=kitchen&sr=1-358,2.9,37,₹745,"₹2,899"
Multipurpose Utility 4 Layer Heavy Duty Open Plastic Book/Shoe/Cloth Foldable Rack for Any Use - Black,home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41pCpUoeXqL._AC_UL320_.jpg,https://www.amazon.in/Multipurpose-Utility-Layer-Plastic-Foldable/dp/B0BK1PPGNC/ref=sr_1_359?qid=1679212904&s=kitchen&sr=1-359,3.5,2,₹449,"₹1,999"
"Urooz Macramé Wooden Wall Hanging Shelf |921| Modern Chic Woven Macrame Tapestries, Wall Art Home Decor for Apartment, Dor...",home & kitchen,Furniture,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61OLY2K9pVL._AC_UL320_.jpg,https://www.amazon.in/Urooz-Tapestries-Apartment-Decorations-30x15X50/dp/B0BKXMKJW3/ref=sr_1_360?qid=1679212904&s=kitchen&sr=1-360,4.1,16,₹299,₹499
MACCA Brand - XXXL Clasic Bean Bag Filled with Beans Ready to Use (Faux Leather) (Navy Blue),home & kitchen,Furniture,https://m.media-amazon.com/images/I/51soywcAI9L._AC_UL320_.jpg,https://www.amazon.in/MACCA-Brand-Clasic-Filled-Leather/dp/B0BTBBRJ6T/ref=sr_1_433?qid=1679212906&s=kitchen&sr=1-433,4.1,5,"₹1,595","₹2,499"
"Supreme Bazaar Stainless Steel Napkin Ring/ Towel Hanger/ Napkin Holder, Wall Mounted for Kitchen, Wash Area, Bathroom Acc...",home & kitchen,Furniture,https://m.media-amazon.com/images/I/31yY3bh5EnL._AC_UL320_.jpg,https://www.amazon.in/Supreme-Bazaar-Stainless-Towel-Accessories/dp/B09C4SFZZG/ref=sr_1_434?qid=1679212906&s=kitchen&sr=1-434,3.7,211,₹174,₹399
Kuber Industries Country Modern Door Mat/Floor Mat|Solid Print & Cotton Material|Water Absorbent & Easy to Wash|Size Large...,home & kitchen,Furniture,https://m.media-amazon.com/images/I/81FOX5pkqQL._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Flower-Design-Cotton/dp/B07GM7B7LP/ref=sr_1_435?qid=1679212906&s=kitchen&sr=1-435,4.0,969,₹189,₹398
Generic LTT-0001 Multipurpose Wood Laptop Table with Dock Stand & Non-Slip Legs Foldable and Portable Lapdesk for Study & ...,home & kitchen,Furniture,https://m.media-amazon.com/images/I/61tbu79Rj2L._AC_UL320_.jpg,https://www.amazon.in/Hossejoy-Foldable-Breakfast-Serving-Reading/dp/B0866GKZMF/ref=sr_1_436_mod_primary_new?qid=1679212906&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-436,3.7,"2,224",₹399,"₹1,299"
