name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
IMPOWER Self Defence Pepper Spray for Woman Safety - 55 ML (Pack of 2),home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61vYHhnKALL._AC_UL320_.jpg,https://www.amazon.in/IMPOWER-Defence-Unisex-Pepper-Sprays/dp/B075XRD8DT/ref=sr_1_385?qid=1679213602&s=garden&sr=1-385,4.3,913,₹299,₹700
"FESTEL Skytuch Shock Proof Multipurpose 8-to-24 Foot Extendable Telescopic Pole with (2 Attachments) Coconut Plucker, Mang...",home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61gqXkRRz6L._AC_UL320_.jpg,https://www.amazon.in/Festel-Skytuch-Telescopic-Coconut-Plucker/dp/B08DVB54G7/ref=sr_1_386?qid=1679213602&s=garden&sr=1-386,4.1,754,"₹3,500","₹5,000"
"Yellow Weaves Canvas Cloth Insulated Travel Lunch/Tiffin/Storage Bag for Office, College & School (Grey, Big Size)",home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91ECJPr9PPS._AC_UL320_.jpg,https://www.amazon.in/Yellow-Weaves-Insulated-Storage-College/dp/B085HCT4N8/ref=sr_1_387?qid=1679213602&s=garden&sr=1-387,4.1,"1,463",₹289,₹448
Sharpex Garden Steel Material Hose Hanger - Wall Mounted Watering Hose Holders - Heavy Duty Portable Irrigation Hose Hange...,home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81X0M8GZc1L._AC_UL320_.jpg,https://www.amazon.in/Sharpex-Mount-Hanger-Durable-Material/dp/B00M0N1NAG/ref=sr_1_388?qid=1679213602&s=garden&sr=1-388,4.3,"1,835",₹859,₹999
"Kraft Seeds Cocopeat for Home Garden (1kg) | Expands Upto 5 Ltrs | Natural and Eco-Friendly | Hydroponic Plants, Kitchen a...",home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71knonPnIGL._AC_UL320_.jpg,https://www.amazon.in/Kraft-Seeds-Cocopeat-Gardening-Expands/dp/B08KVJSMP8/ref=sr_1_389?qid=1679213602&s=garden&sr=1-389,4.2,"2,014",₹119,₹150
"Kraft Seeds Plastic Window Planters (1 Pc, 13 Inch, Red) | Planting Pots for Home Plants | Flower Plant Pots for Home & Ba...",home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51Le-mg+UuL._AC_UL320_.jpg,https://www.amazon.in/Kraft-Seeds-Planter-Jupiter-Balcony/dp/B08PCH4RVP/ref=sr_1_390?qid=1679213602&s=garden&sr=1-390,3.9,154,,₹99
"Sulfar 3pcs Mini Wire Brush Set (Steel/Nylon/Brass Brush), Black, 0244",home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51XuOAq01JL._AC_UL320_.jpg,https://www.amazon.in/Sulfar-Brush-Steel-Nylon-0244/dp/B09BYXMJJL/ref=sr_1_391?qid=1679213602&s=garden&sr=1-391,3.9,364,,₹99
"Leafy Tales Bone Meal Manure for Plants - 1 KG, Brown",home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61IiinrbaPL._AC_UL320_.jpg,https://www.amazon.in/Leafy-Tales-Bone-Meal-Manure/dp/B0963N4QW4/ref=sr_1_392?qid=1679213602&s=garden&sr=1-392,3.7,127,₹112,₹149
"Leafy Tales Plastic Small Hook Hanging Pot, Multicolor 20.5 x 14.5 x 8.5 cm, 5 Pieces (Small Hook - 5)",home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61+jd6XO8KS._AC_UL320_.jpg,https://www.amazon.in/Leafy-Tales-Small-Hook-Multicolor/dp/B08WZ2P6P9/ref=sr_1_393?qid=1679213602&s=garden&sr=1-393,4.1,162,₹291,₹349
Nutri Organics Halim Seeds 250 Grams - Aliv Seeds | Haleem Seeds | Seeds for Eating | Immunity Booster Superfood | Asaliy...,home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61qWsn5cM5L._AC_UL320_.jpg,https://www.amazon.in/Nutri-Organics-Gondh-Combo-Pouch/dp/B08HV569TF/ref=sr_1_394?qid=1679213602&s=garden&sr=1-394,3.7,42,₹99,₹199
