name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Kurtzy Vacuum Bags for Clothes with Pump - (5 Pcs) Reusable Vacuum Storage Bags with Ziplock and Hand Pump,Space Saver Com...",home & kitchen,Home Storage,https://m.media-amazon.com/images/I/81UVBWMk7VL._AC_UL320_.jpg,https://www.amazon.in/Kurtzy-Vacuum-Storage-Reusable-Ziplock/dp/B07NDY2BXD/ref=sr_1_97?qid=1679213769&s=kitchen&sr=1-97,4.2,"4,715",₹779,"₹1,399"
MBW Drawer Organizer Wardrobe Clothes Storage 7 Grids Storage Organizer Multipurpose Large Capacity Compartment Storage Bo...,home & kitchen,Home Storage,https://m.media-amazon.com/images/I/71Ud8Wl2QAL._AC_UL320_.jpg,https://www.amazon.in/MBW-Organizer-Multipurpose-Compartment-Collapsible/dp/B09ZDRYDZG/ref=sr_1_98?qid=1679213769&s=kitchen&sr=1-98,3.1,186,₹749,"₹1,299"
Bel Casa Royal Basket Large Pack of 3 With 3 Lids Multipurpose Plastic Storage Baskets - Dark Brown,home & kitchen,Home Storage,https://m.media-amazon.com/images/I/71SELzW89EL._AC_UL320_.jpg,https://www.amazon.in/Bel-Casa-Multipurpose-Plastic-Storage/dp/B08R9STTQX/ref=sr_1_99?qid=1679213769&s=kitchen&sr=1-99,4.4,"3,566",₹799,"₹1,499"
"PrettyKrafts Laundry Bag for Clothes, collapsible I sundry storage,(45 l),(BLACK & WHITE)",home & kitchen,Home Storage,https://m.media-amazon.com/images/I/61Sd7koV9iL._AC_UL320_.jpg,https://www.amazon.in/PrettyKrafts-Canvas-Laundry-Bag-Storage/dp/B07WW1DTZF/ref=sr_1_100?qid=1679213769&s=kitchen&sr=1-100,4.1,"10,057",₹250,₹499
"ARISTO Multipurpose Plastic Storage Container Box with Wheels 25 LTR (Clear, Transparent), (45.8 x 34 x 26) cm",home & kitchen,Home Storage,https://m.media-amazon.com/images/I/41oDszyhUML._AC_UL320_.jpg,https://www.amazon.in/Aristo-Multipurpose-Storage-Container-Wheels/dp/B06XJ68YDV/ref=sr_1_101?qid=1679213769&s=kitchen&sr=1-101,4.1,"3,799",₹628,₹941
"PROTOWARE Clothes Hanger Wardrobe Storage Organizer Rack (10 pcs, Black)(Plastic)",home & kitchen,Home Storage,https://m.media-amazon.com/images/I/71R6JJgBMoL._AC_UL320_.jpg,https://www.amazon.in/PROTOWARE-Clothes-Wardrobe-Storage-Organizer/dp/B0848W5LGK/ref=sr_1_102?qid=1679213769&s=kitchen&sr=1-102,4.2,"1,567",₹300,"₹1,299"
"FLIPZON 4 Shelves Shoe Rack, 12 Pairs, Metal & Plastic (Small) (Rustproof) (Black & White)",home & kitchen,Home Storage,https://m.media-amazon.com/images/I/81NmzkBMAcL._AC_UL320_.jpg,https://www.amazon.in/FLIPZON-Shelves-Pairs-Plastic-Rustproof/dp/B08Y5J5QTN/ref=sr_1_103?qid=1679213769&s=kitchen&sr=1-103,3.7,"1,233",₹395,₹999
Kuber Industries Coat Cover|Foldable Blazer Cover|Suit Cover With Zipper Closure|Cloth Organizer For Dust Proof Jacket|Pac...,home & kitchen,Home Storage,https://m.media-amazon.com/images/I/71CwTHRvl0L._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Pieces-Foldable-CTKTC041676/dp/B084HZT32P/ref=sr_1_104?qid=1679213769&s=kitchen&sr=1-104,4.1,351,₹234.65,₹449
Kuber Industries Saree Covers With Zip|Saree Covers For Storage|Saree Packing Covers For Wedding|Pack of 6 (Red),home & kitchen,Home Storage,https://m.media-amazon.com/images/I/71Q3locEHEL._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Metalic-Flower-Piece/dp/B07QHB3LFM/ref=sr_1_105?qid=1679213769&s=kitchen&sr=1-105,4.0,"3,671",₹319,₹449
Storite 2 Pack Nylon 85 L Moisture Proof Multi-Purpose Storage Bag/Clothing Storage Organiser/Toy Storage/Stationery Paper...,home & kitchen,Home Storage,https://m.media-amazon.com/images/I/81gEbYY1K6L._AC_UL320_.jpg,https://www.amazon.in/Storite-Pack-Storage-Bag-Black/dp/B07PVMH91H/ref=sr_1_106?qid=1679213769&s=kitchen&sr=1-106,4.3,"6,488",₹699,"₹2,299"
