name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Signoraware Stainless Steel Scrubber (18 grams) Non Rusting Wire Scrubbers for Tough Stain Removal |Kitchen Oily Steel Gla...,industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71lrmV7fdCL._AC_UL320_.jpg,https://www.amazon.in/Signoraware-Stainless-Scrubbers-Glassware-Multicolour/dp/B095YXF5DX/ref=sr_1_241?qid=1679223305&s=industrial&sr=1-241,4.1,127,,₹54
"OCTOLYTFoldable Microfiber Fan Cleaning Duster Steel Body Flexible Fan mop for Quick and Easy Cleaning of Home, Kitchen, C...",industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61hobXJbFUL._AC_UL320_.jpg,https://www.amazon.in/OCTOLYTFoldable-Microfiber-Cleaning-Flexible-Kitchen/dp/B09Y67874Z/ref=sr_1_242?qid=1679223305&s=industrial&sr=1-242,4.1,167,₹249,₹999
"BELOXY Long Bottle Cleaning Brush for Washing Water Bottle, Narrow Neck Containers, Hydro Flask, Vacuum Sports Bottle, Vas...",industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/419gL7ontvL._AC_UL320_.jpg,https://www.amazon.in/BELOXY-Cleaning-Washing-Containers-Glassware/dp/B09RPMW33C/ref=sr_1_243?qid=1679223305&s=industrial&sr=1-243,3.9,332,₹199,₹499
"Gala Super Scrub Set, Black, Multicolour, 2 Count",industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91ngQDa5fGL._AC_UL320_.jpg,https://www.amazon.in/Gala-Super-Scrub-Pieces-Sample/dp/B074N8FYVQ/ref=sr_1_244?qid=1679223305&s=industrial&sr=1-244,4.4,"1,881",₹84,₹85
"HIC Floor Broom/Brush with Long Handle for Home, Kitchen, Bathroom (Multicolour, Standard Size)",industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41u+cdFeJIL._AC_UL320_.jpg,https://www.amazon.in/HIC-Sink-Dish-Cleaning-Brush/dp/B07MBMQSN1/ref=sr_1_245?qid=1679223305&s=industrial&sr=1-245,4.0,"3,121",₹329,₹399
PR Star Vacuum Cleaner Dust Collection/Lighting 2 in 1 Car Vacuum Cleaner 120W High-Power Handheld Wireless Vacuum Cleaner...,industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61thTpMQyaL._AC_UL320_.jpg,https://www.amazon.in/Collection-Lighting-High-Power-Handheld-Rechargeable/dp/B0BGDXH7C2/ref=sr_1_246?qid=1679223305&s=industrial&sr=1-246,2.2,92,₹599,"₹1,299"
Scotch-Brite Stainless Steel Scrub - Pack of 3 with free 3 scrub pads,industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81RiqtTC2XL._AC_UL320_.jpg,https://www.amazon.in/Scotch-Brite-Stainless-Steel-Scrub-scrub/dp/B086Q544V1/ref=sr_1_247_mod_primary_new?qid=1679223305&s=industrial&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-247,4.4,"1,333",₹115,₹120
"Kohler Brive Toilet Seat Slow Close - Oval Shaped in White - Toilet Seat for Bathroom - High Gloss Finish, Comfort Seating...",industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41kKPcX6fzL._AC_UL320_.jpg,https://www.amazon.in/KOHLER-Brive-Oval-Shaped-Quiet-Close-Toilet/dp/B07RNY24QH/ref=sr_1_248?qid=1679223305&s=industrial&sr=1-248,4.4,673,"₹1,699","₹2,310"
ATERO Smallcloud Microfiber Bendable & Extendable Fan Cleaning Duster with Up to 100 inches Stainless Steel Pole Handle (W...,industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71cqeu3G53L._AC_UL320_.jpg,https://www.amazon.in/Smallcloud-Microfiber-Duster-Extendable-Stainless/dp/B09YLPW45X/ref=sr_1_249?qid=1679223305&s=industrial&sr=1-249,4.2,129,₹389,₹499
"Cello Kitchen Platform and Glass Wiper, Pack of 1 Piece, Blue and White",industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41JrytgYS5S._AC_UL320_.jpg,https://www.amazon.in/Cello-Kleeno-Kitchen-Platform-Glass/dp/B071YWLP4D/ref=sr_1_250?qid=1679223305&s=industrial&sr=1-250,4.4,"6,464",,₹146
Heavy Quality Mop with Squeeze Cleaning Supplies Clean Home Floor Cleaner Bathroom Cleaning Brush with Wiper 2 in 1 Tiles ...,industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61VJLlK5+ZL._AC_UL320_.jpg,https://www.amazon.in/Cleaning-Supplies-Bathroom-Brush-Automatic/dp/B0BV6F2H9R/ref=sr_1_251?qid=1679223305&s=industrial&sr=1-251,3.5,36,₹449,"₹1,499"
"FLETIX Silicon Indian and Western Toilet Cleaning Brush with Slim No-Slip Long Handle, Flex Toilet Brush Anti-Drip Set, 36...",industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41z9DP2HLlL._AC_UL320_.jpg,https://www.amazon.in/FLETIX-Silicon-Western-Cleaning-Anti-Drip/dp/B0BK3ZJB87/ref=sr_1_252?qid=1679223305&s=industrial&sr=1-252,3.0,50,₹156,₹499
"Scotch-Brite Fibre Bathroom Scrubber Brush (Green, Pack of 2)",industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61OQ6KQtWJL._AC_UL320_.jpg,https://www.amazon.in/Scotch-Brite-Bathroom-Scrubber-Brush-Pack/dp/B07BNFX1W6/ref=sr_1_253?qid=1679223305&s=industrial&sr=1-253,4.2,"1,674",₹250,₹300
"SHAYONAM Silicone Toilet Brush with Holder Slim Flex Toilet Brush Anti-Drip Set Toilet Bowl Cleaner Brush, No-Slip Long Ha...",industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61jtvHFmG3S._AC_UL320_.jpg,https://www.amazon.in/SHAYONAM-Silicone-Anti-drip-Cleaner-Multicolor/dp/B09PJWG8N1/ref=sr_1_254?qid=1679223305&s=industrial&sr=1-254,3.2,"1,096",₹284,₹999
Bathroom Cleaning Brush with Wiper 2 in 1 Tiles Cleaning Brush Floor Scrub Bathroom Brush with Long Handle 120° Rotate Bat...,industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61+1+H7zTkL._AC_UL320_.jpg,https://www.amazon.in/Bathroom-Cleaning-Brush-Handle-Rotate/dp/B0BTWHBS6C/ref=sr_1_255?qid=1679223305&s=industrial&sr=1-255,4.2,24,₹389,₹999
LEAPUPfan Cleaning Brush with Long Rod Cleaning Supplies Adjustable Microfiber dust Brush Foldable Home appliances Ceiling...,industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61Zyd-IPgZL._AC_UL320_.jpg,https://www.amazon.in/LEAPUPfan-Cleaning-Adjustable-Microfiber-appliances/dp/B09HPXH6D3/ref=sr_1_256?qid=1679223305&s=industrial&sr=1-256,4.5,12,₹299,₹699
"Zureni BR-03 Garnate Broom Phool Jhadu with Natural Mizoram Long Grass 21 cm Metal Handle Stick for Easy Dust Removal, Str...",industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/510L+Q2Lc5L._AC_UL320_.jpg,https://www.amazon.in/Zureni-ZN-BR-03-Natural-Cleaning-Colours/dp/B08YR2WPVG/ref=sr_1_257?qid=1679223305&s=industrial&sr=1-257,3.7,230,,₹229
"CANWAY Flexible Fan Cleaning Duster for Multi-Purpose Cleaning of Home, Kitchen, Car, Office with Long Rod",industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61VhhIKuoGL._AC_UL320_.jpg,https://www.amazon.in/CANWAY-Flexible-Cleaning-Multi-Purpose-Kitchen/dp/B0BW4NSGFB/ref=sr_1_258?qid=1679223305&s=industrial&sr=1-258,5.0,3,₹294,₹899
SynSo Microfiber Cloth - Pack of 8 High Absorbent Cleaning Cloth; Lint & Streak Free for Kitchen; Bathroom; Furniture; Woo...,industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/618Mq3R112L._AC_UL320_.jpg,https://www.amazon.in/SynSo-Absorbent-Microfiber-Cleaning-Cloth/dp/B08BTQ6GZN/ref=sr_1_259?qid=1679223305&s=industrial&sr=1-259,4.1,123,₹499,₹799
SQQEZR Microfiber Feather Duster Bendable & Extendable Fan Cleaning Duster with 100 inches Expandable Pole Handle Washable...,industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51kQwkBwF8L._AC_UL320_.jpg,https://www.amazon.in/SQQEZR-Microfiber-Bendable-Extendable-Expandable/dp/B0BVM4JLRH/ref=sr_1_260?qid=1679223305&s=industrial&sr=1-260,5.0,22,₹295,₹599
FEEDFIRE Microfiber Feather Duster Bendable & Extendable Fan Cleaning Duster with 100 inches Expandable Pole Handle Washab...,industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71R5oxKsQlL._AC_UL320_.jpg,https://www.amazon.in/FEEDFIRE-Microfiber-Extendable-Expandable-Furniture/dp/B0BX8ZR4H5/ref=sr_1_261?qid=1679223305&s=industrial&sr=1-261,5.0,8,₹229,"₹1,099"
Norvina Silicone Glass and Bottle Cleaning Brush BPA Free -Long Handle - Grey,industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41ZZvgZiBjL._AC_UL320_.jpg,https://www.amazon.in/Norvina-Silicone-Bottle-Cleaning-Brush/dp/B0BPMZGXHR/ref=sr_1_262?qid=1679223305&s=industrial&sr=1-262,4.2,3,,
"Cello KleenoTelescopic Hardtile Brush, Pack of 1pc, Red",industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51hInlCq2IL._AC_UL320_.jpg,https://www.amazon.in/Cello-Kleeno-Standee-Telescopic-hardtile/dp/B07PJYG8YK/ref=sr_1_263?qid=1679223305&s=industrial&sr=1-263,4.0,823,₹469,₹799
QOZWEID® Mop and Broom Holder; Upgraded with Effective Strong Holding 5 Slot Position with 6 Hooks Garage Storage up to 11...,industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/710SruRzGfS._AC_UL320_.jpg,https://www.amazon.in/HK-MART-Upgraded-Effective-Position/dp/B07QNVBFCL/ref=sr_1_264?qid=1679223305&s=industrial&sr=1-264,4.0,"2,037",₹488,₹899
"MorningVale MAT-Brush-ST2 Cleaning Brush, Duster with Hard and Long Bristles for Car Seat/Carpet/Mats (Multicolour), Pack ...",industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41V+QtamO5L._AC_UL320_.jpg,https://www.amazon.in/Generic-Cleaning-Duster-Bristles-Multicolour/dp/B071Z8KBCY/ref=sr_1_457?qid=1679223309&s=industrial&sr=1-457,3.8,"1,740",,₹239
