name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Stysol Gradient Aviator Sunglasses & Stylish Leather Watches for Boys Combo BT-CMB-101,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/61wOzZWrK-L._AC_UL320_.jpg,https://www.amazon.in/Stysol-Gradient-Aviator-Sunglasses-BT-CMB-101/dp/B07V1FQDQF/ref=sr_1_241?qid=1679220436&s=apparel&sr=1-241,4.5,2,₹389,"₹1,450"
Cloth Theory Boys Shorts,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/91c+moGXKnL._AC_UL320_.jpg,https://www.amazon.in/Cloth-Theory-Regular-CTSH_030_Grey-Navy_11-12/dp/B0856LG3B5/ref=sr_1_242?qid=1679220436&s=apparel&sr=1-242,3.9,"4,318",₹219,"₹1,099"
NIVIA Encounter Stockings-Large,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/61v7q9uBOGL._AC_UL320_.jpg,https://www.amazon.in/Nivia-Encounter-Stockings-Royal-Blue/dp/B079S6HJMY/ref=sr_1_243?qid=1679220436&s=apparel&sr=1-243,3.8,268,,₹105
Trendy Retail Black High Tenacity Nylon Mesh Storage Bags Outdoors Activities Folding Hanging Organizer Bag for Kettle Mob...,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/51xHB9o9HmL._AC_UL320_.jpg,https://www.amazon.in/Trendy-Retail-Tenacity-Activities-Organizer/dp/B091J8C1DD/ref=sr_1_244?qid=1679220436&s=apparel&sr=1-244,,,"₹1,197","₹3,591"
Jockey Boys Cotton Briefs (Pack of 2),kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/61TxojoUp8L._AC_UL320_.jpg,https://www.amazon.in/Jockey-Plain-Brief-PB05_Assorted_11-12-Years/dp/B08231VYPL/ref=sr_1_245?qid=1679220436&s=apparel&sr=1-245,4.3,"1,000",₹328,₹338
Puma Girl's Regular T-Shirt,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/41VGBIyyCGL._AC_UL320_.jpg,https://www.amazon.in/Puma-Girls-Regular-T-Shirt-58136117_104_Pink_Rosewater/dp/B07XFX5QPV/ref=sr_1_246?qid=1679220436&s=apparel&sr=1-246,4.6,2,₹299,₹999
IndiWeaves� Girls Crepe Digital Printed Stylish Casual Skirts (Pack of 4),kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/81qxl4ZXXTL._AC_UL320_.jpg,https://www.amazon.in/IndiWeaves%C2%AE-Digital-Printed-Stylish-Multicolor/dp/B0B6SKTHD1/ref=sr_1_247?qid=1679220436&s=apparel&sr=1-247,,,₹699,₹749
Adc fashions Women's Belt,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/619yeHUBknL._AC_UL320_.jpg,https://www.amazon.in/Fashion-Plated-Wedding-Collection-Below/dp/B09B27XV3G/ref=sr_1_248?qid=1679220436&s=apparel&sr=1-248,3.4,49,₹550,"₹1,500"
Googo Gaaga Boy's Cotton T-Shirt With Shorts,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/41qTsFgKFsL._AC_UL320_.jpg,https://www.amazon.in/Googo-Gaaga-Cotton-Applique-T-Shirt/dp/B07T5BQMNW/ref=sr_1_249?qid=1679220436&s=apparel&sr=1-249,3.4,571,₹462,"₹1,400"
Stylish New Aveo_Leather_Belt Analog Watch - for Boys (Black),kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/51TfbOiwIYL._AC_UL320_.jpg,https://www.amazon.in/Stylish-New-Aveo_Leather_Belt-Analog-Watch/dp/B0BLK9Y2WG/ref=sr_1_250?qid=1679220436&s=apparel&sr=1-250,,,₹299,₹399
