name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Campus Kids BINGO-151V Black School Shoes,kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/717sLafAVAL._AC_UL320_.jpg,https://www.amazon.in/Campus-Formal-Shoes-9-India-BINGO-151V/dp/B07PFCC1LL/ref=sr_1_97_mod_primary_new?qid=1679221191&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-97,3.5,193,₹449,₹499
IndiWeaves� Girls Cotton Printed Regular Fit Capri 3/4th Pants (Pack of 5),kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51K78CUDHIL._AC_UL320_.jpg,https://www.amazon.in/IndiWeaves%EF%BF%BD-Printed-Regular-Multicolor294-Binding/dp/B0BBDWCMVV/ref=sr_1_98?qid=1679221191&s=apparel&sr=1-98,,,₹934,"₹1,044"
"SKMEI Kids Sports Digital Watch, Multi Function Digital Kids Watches Waterproof LED Light Wristwatches for Boys Girls - 1451",kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51WSLPj5gnL._AC_UL320_.jpg,https://www.amazon.in/SKMEI-Waterproof-Children-Digital-Multifunctions/dp/B07L4TVYXT/ref=sr_1_99?qid=1679221191&s=apparel&sr=1-99,4.2,"1,481",₹840,"₹1,875"
A.T.U.N. (ALL THINGS UBER NICE) Girl's Polyester Fit and Flare Knee-Length Casual Dress,kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61PB9wkovpL._AC_UL320_.jpg,https://www.amazon.in/T-U-N-Things-Uber-Nice-GDRS/dp/B07LD26RDM/ref=sr_1_100?qid=1679221191&s=apparel&sr=1-100,3.7,"3,651",₹149,₹499
Yellow Chimes German Silver Oxidised Jewellery Set Traditional Threaded Choker Necklace Set for Women and Girls,kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71+Vn2y-acL._AC_UL320_.jpg,https://www.amazon.in/Yellow-Chimes-Oxidised-Traditional-Jewellery/dp/B08G8QZNT2/ref=sr_1_101?qid=1679221191&s=apparel&sr=1-101,4.2,"1,189",₹264,"₹2,660"
NIVIA Encounter Stockings-Large,kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61v7q9uBOGL._AC_UL320_.jpg,https://www.amazon.in/Nivia-Encounter-Stockings-Royal-Blue/dp/B079S6HJMY/ref=sr_1_102?qid=1679221191&s=apparel&sr=1-102,3.8,268,,₹105
PS Fashionss Track Pant for Boys (PS014BP014),kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Dbez9437L._AC_UL320_.jpg,https://www.amazon.in/PS-Fashionss-Track-PS014BP014-Melange/dp/B0B6R989Y8/ref=sr_1_103?qid=1679221191&s=apparel&sr=1-103,,,₹499,₹999
Puma Unisex-Child Kent V Inf Sneaker,kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51CZZNLzUsL._AC_UL320_.jpg,https://www.amazon.in/Puma-Idpmen-Black-Sneakers-9-19059701/dp/B07D3LZBZZ/ref=sr_1_104?qid=1679221191&s=apparel&sr=1-104,3.5,10,₹899,"₹2,499"
Jockey unisex-child Calf Length Socks,kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/21O7N1aGRvL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Length-Cotton-Socks-7800_White_7-8/dp/B09RQK3P7X/ref=sr_1_105?qid=1679221191&s=apparel&sr=1-105,4.2,302,₹89,₹99
Nike,kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/714XI8SDGKL._AC_UL320_.jpg,https://www.amazon.in/NIKE-Supergame-White-Indian-Shoes/dp/B0059RKM98/ref=sr_1_106?qid=1679221191&s=apparel&sr=1-106,3.0,47,"₹1,513","₹2,495"
