name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Dark Horse Plastic Bicycle Dual Tone Front & Rear Mudguard, Black-Grey",car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81tQqauQFHL._AC_UL320_.jpg,https://www.amazon.in/Dark-Horse-Bicycle-Mudguard-Black-Grey/dp/B079RTKJMY/ref=sr_1_121?qid=1679221674&s=automotive&sr=1-121,3.9,947,₹299,₹899
SHIVEXIM Waterproof Rechargeable USB Charging Cycle Front LED Light Headlight (Grey),car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/619juWOTt4L._AC_UL320_.jpg,https://www.amazon.in/ShivExim-Waterproof-Rechargeable-Charging-Headlight/dp/B084VL5CMT/ref=sr_1_122?qid=1679221674&s=automotive&sr=1-122,4.3,"1,626",₹699,₹999
"Probiker Leather Half Finger Motorcycle Gloves (Black, L), large",car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71m5Xe-4M3L._AC_UL320_.jpg,https://www.amazon.in/Probiker-Leather-Finger-Motorcycle-Gloves/dp/B00RMV4UVA/ref=sr_1_123?qid=1679221674&s=automotive&sr=1-123,3.7,"3,514",₹275,₹998
Vega Off Road D/V Black Helmet-M,car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61nPsRGH2HL._AC_UL320_.jpg,https://www.amazon.in/Vega-Road-V-K_M-Helmet-Black/dp/B00OJZO6XE/ref=sr_1_124?qid=1679221674&s=automotive&sr=1-124,4.2,"16,634","₹1,545","₹1,871"
TVS Kit Visor for Apache 4V BS4,car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41sKdG4yTJL._AC_UL320_.jpg,https://www.amazon.in/TVS-Kit-Visor-Apache-BS4/dp/B08P6377LV/ref=sr_1_125?qid=1679221674&s=automotive&sr=1-125,4.2,326,,₹223
"AUTOPOWERZ® Universal for Bike Hazard Flasher, Waterproof 16 Patterns Flasher Relay for LED/Bulb Indicators (Flasher & Swi...",car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71gUAypA2VL._AC_UL320_.jpg,https://www.amazon.in/AUTOPOWERZ%C2%AE-Universal-Waterproof-Patterns-Indicators/dp/B0845SVZ56/ref=sr_1_126?qid=1679221674&s=automotive&sr=1-126,3.5,711,₹341,₹999
MotoTrance ESSENTIALS Black Bike Cover - Royal Enfield Classic 350 | With Storage Bag | Water Resistant | Dust and Heat Pr...,car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61nsNlowkhL._AC_UL320_.jpg,https://www.amazon.in/Mototrance-Premium-Quality-Enfield-Classic/dp/B01MCWMRQ5/ref=sr_1_127?qid=1679221674&s=automotive&sr=1-127,3.7,"6,268",₹341,₹560
"Windshield Repair Kit, Car Windshield Window Glass Repair Tool for Quick Repair Windshield Chips and Cracks, Bulls-Eye, St...",car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71l3FkKWToL._AC_UL320_.jpg,https://www.amazon.in/Windshield-Bulls-Eye-Star-Shaped-Half-Moon-Crescents/dp/B09KXX8ZG2/ref=sr_1_128?qid=1679221674&s=automotive&sr=1-128,2.2,61,₹330,"₹1,200"
"Fluffy's Soft Faux Sheepskin Seat Belt Shoulder Pad for Car, Truck, Bus, Compatible with Adults Youth Kids (Black) - 2 Pac...",car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41woDa+zG2S._AC_UL320_.jpg,https://www.amazon.in/Sheepskin-Shoulder-Comfortable-Driving-Compatible/dp/B095PQGRSQ/ref=sr_1_129?qid=1679221674&s=automotive&sr=1-129,3.9,"1,031",₹314,₹799
"Le Gear - OG-004 Orgami Polygon Arm Sleeves (Grey, Free Size)",car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71KIXiL0kcL._AC_UL320_.jpg,https://www.amazon.in/Gear-Orgami-Polygon-Sleeves-Grey/dp/B06WLMP49N/ref=sr_1_130?qid=1679221674&s=automotive&sr=1-130,4.1,"2,433",₹255,₹299
