name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Arturia MiniLab 3, 25 Slim-Key USB-C Midi Controller with 5-Year Warranty, 8 Backlit LED Pads, 8 Knobs, 4 Faders, Midi Ou...",music,Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61EjCG4omGL._AC_UL320_.jpg,https://www.amazon.in/Arturia-MiniLab-Controller-Arpeggiator-Production/dp/B0BGMNKCNT/ref=sr_1_217?qid=1679225398&s=musical-instruments&sr=1-217,4.6,"3,928","₹9,990","₹11,990"
YOUNG ELECTRONICS Wireless Singing Mike Multi-Function Bluetooth Karaoke Mic with Microphone Speaker for All Smart Phones ...,music,Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31hB4uzZJ6L._AC_UL320_.jpg,https://www.amazon.in/YOUNG-ELECTRONICS-Multi-Function-Microphone-Multicolour/dp/B0BHTL7PM3/ref=sr_1_218?qid=1679225398&s=musical-instruments&sr=1-218,3.0,17,₹475,₹999
AHUJA Wireless Microphone AWM-700U2,music,Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/314x+VOdsSS._AC_UL320_.jpg,https://www.amazon.in/AHUJA-AWM-700U2-WIRELESS-HANDHELD-MICROPHONE/dp/B07NNWBV68/ref=sr_1_219?qid=1679225398&s=musical-instruments&sr=1-219,4.3,345,"₹7,085","₹8,485"
"Alice Violin String Set E/a/d/g Violin Strings for Size 1/4 1/2 3/4 4/4 Set Ball, Silver (IKN-A703)",music,Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61XPrYeAN2S._AC_UL320_.jpg,https://www.amazon.in/Alice-Violin-String-Strings-Size/dp/B00JVMX4TM/ref=sr_1_220_mod_primary_new?qid=1679225398&s=musical-instruments&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-220,4.2,476,₹315,₹399
MAONO Au-Wdm01 Professional Handheld Dynamic Unidirectional/Cardioid Vocal Wired Microphone with XLR Cable (Black),music,Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61Lt93BXKsL._AC_UL320_.jpg,https://www.amazon.in/AU-WDM01-Professional-Dynamic-Cardioid-Microphone/dp/B07JGRL6KQ/ref=sr_1_221?qid=1679225398&s=musical-instruments&sr=1-221,3.7,"2,019",₹971,"₹1,299"
D'Addario EZ920 85/15 Bronze Medium Light Acoustic Guitar Strings,music,Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71Gn0Y+sLdL._AC_UL320_.jpg,https://www.amazon.in/DAddario-EZ920-Bronze-Acoustic-Strings/dp/B0002H0G3M/ref=sr_1_222?qid=1679225398&s=musical-instruments&sr=1-222,4.4,"2,414",,₹499
Yamaha FC5 Sustain Pedal for Keyboards and Pianos,music,Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/718oKw3192L._AC_UL320_.jpg,https://www.amazon.in/Yamaha-Switch-Sustain-Electronic-Keyboards/dp/B00005ML71/ref=sr_1_223?qid=1679225398&s=musical-instruments&sr=1-223,4.5,"4,262",,"₹1,490"
Ghungroo India (50 + 50) White Cotton String (1.6 cms),music,Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/716R3quTwDL._AC_UL320_.jpg,https://www.amazon.in/Ghungroo-India-White-Cotton-String/dp/B01N2I74UV/ref=sr_1_224?qid=1679225398&s=musical-instruments&sr=1-224,4.3,"1,050",₹485,"₹1,299"
Envie Infinite AAA 800 2PL Rechargeable Battery,music,Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61IT49LhJYL._AC_UL320_.jpg,https://www.amazon.in/Envie-800RTU-Infinite-Rechargeable-Battery/dp/B01LEQTYZK/ref=sr_1_225?qid=1679225398&s=musical-instruments&sr=1-225,4.1,"2,175",₹249,₹345
"Neowood (NW-PWH-1 Guitar Wall Mount Hanger Stand with Cushion and Metal Base for Acoustic, bass,Electric Guitar and Ukulele",music,Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/5136yBw4IgL._AC_UL320_.jpg,https://www.amazon.in/Neowood-NW-PWH-1-Cushion-Acoustic-Electric/dp/B0BCQFSJZF/ref=sr_1_226?qid=1679225398&s=musical-instruments&sr=1-226,4.4,26,₹379,₹480
LIMTAS Professional k1 Collar Mic for YouTube Grade Lavalier Microphone Omnidirectional with Easy Clip On System ­ Perfect...,music,Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/313SaDWignL._AC_UL320_.jpg,https://www.amazon.in/LIMTAS-Professional-Microphone-Omnidirectional-Conference/dp/B0BT1L9Z37/ref=sr_1_227?qid=1679225398&s=musical-instruments&sr=1-227,3.0,10,₹179,₹699
"Yamaha F280 Acoustic Guitar, Tobacco Brown Sunburst",music,Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71SUhLLH8UL._AC_UL320_.jpg,https://www.amazon.in/Yamaha-Acoustic-Guitar-Tobacco-Sunburst/dp/B08VXR74Q2/ref=sr_1_228?qid=1679225398&s=musical-instruments&sr=1-228,4.3,219,"₹7,999","₹9,999"
Juarez JRZ12KX Keyboard Stand with Straps,music,Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71VxO7zdYOL._AC_UL320_.jpg,https://www.amazon.in/Juarez-JRZ12KX-Keyboard-Stand-Straps/dp/B088P63YYQ/ref=sr_1_229?qid=1679225398&s=musical-instruments&sr=1-229,3.2,40,₹789,"₹1,590"
amiciSound Thumb Piano 17 Keys Musical Instrument Kalimba with Engraved Notes and Tuning Hammer,music,Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81C5qh5wytL._AC_UL320_.jpg,https://www.amazon.in/amiciSound-Musical-Instrument-Kalimba-Engraved/dp/B08136BPK1/ref=sr_1_230?qid=1679225398&s=musical-instruments&sr=1-230,4.6,"1,097","₹1,979.01","₹3,500"
True Cult Acoustic Guitar Bag/Cover with Foam Padding {Black} Strong and Durable for all sizes and shapes folk/classical g...,music,Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71SnN7nmgiL._AC_UL320_.jpg,https://www.amazon.in/Yamaha-GUITARCOVER-Acoustic-Guitar-Cover/dp/B01A5GLTBC/ref=sr_1_231?qid=1679225398&s=musical-instruments&sr=1-231,4.6,"2,724","₹1,699","₹1,995"
"JBL Commercial CSUM10 Compact USB Microphone for Recording, Streaming and Online Calls, Black, Medium, Omnidirectional",music,Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51AcNTUQOwS._AC_UL320_.jpg,https://www.amazon.in/JBL-Commercial-Condenser-Microphone-Recording/dp/B092PQBKR9/ref=sr_1_232?qid=1679225398&s=musical-instruments&sr=1-232,4.2,810,"₹5,999","₹12,000"
"ELEPHANTBOAT® Kalimba 17 Keys, Mahogany & Mineral Steel Rods Portable Thumb Piano with Learning Book, Tune Hammer, Cloth B...",music,Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71dfxvAxi0L._AC_UL320_.jpg,https://www.amazon.in/ELEPHANTBOAT%C2%AE-Mahogany-Burlywood-Bilingual-Instruction/dp/B08FBC787K/ref=sr_1_233?qid=1679225398&s=musical-instruments&sr=1-233,4.4,319,"₹1,328","₹1,929"
