name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Skybags Brat Black 46 Cms Casual Backpack,kids' fashion,School Bags,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/810s53kR8tL._AC_UL320_.jpg,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_1?qid=1679220849&s=luggage&sr=1-1,4.1,"3,753",₹659,"₹2,100"
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),kids' fashion,School Bags,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81KEKEDFUcL._AC_UL320_.jpg,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_2?qid=1679220849&s=luggage&sr=1-2,4.1,"52,238","₹1,199","₹2,300"
SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),kids' fashion,School Bags,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61kmCas5OCL._AC_UL320_.jpg,https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_3?qid=1679220849&s=luggage&sr=1-3,4.0,"17,985",₹299,₹799
"Genie Iridescence School Bag for Girls, 17 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy Coll...",kids' fashion,School Bags,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71HWNZIjMvL._AC_UL320_.jpg,https://www.amazon.in/Genie-Iridescence-Multicolor-Backpack-Resistant/dp/B084VQLJL8/ref=sr_1_4?qid=1679220849&s=luggage&sr=1-4,4.0,"2,679",₹899,"₹2,339"
"Safari Hitech 35 Ltrs Water Resistant Backpack - Blue, L (Hitech19Cbblu)",kids' fashion,School Bags,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71hNHEiIfYL._AC_UL320_.jpg,https://www.amazon.in/Safari-HiTech-Water-Resistant-Backpack/dp/B09B27B1Q6/ref=sr_1_5?qid=1679220849&s=luggage&sr=1-5,3.9,894,₹999,"₹2,299"
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,kids' fashion,School Bags,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81KHT04JtvL._AC_UL320_.jpg,https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_6?qid=1679220849&s=luggage&sr=1-6,3.7,"6,051",₹189,₹498
Safari 15 Ltrs Cherry Red Casual/School/College Backpack (DAYPACKNEO15CBCRE),kids' fashion,School Bags,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61XKKuQok2L._AC_UL320_.jpg,https://www.amazon.in/SAFARI-Cherry-Casual-Backpack-DAYPACKNEO15CBCRE/dp/B07NSBSV2Y/ref=sr_1_7?qid=1679220849&s=luggage&sr=1-7,4.1,"5,817",₹299,₹799
Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Spo...,kids' fashion,School Bags,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81SBgVHpw1L._AC_UL320_.jpg,https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_8?qid=1679220849&s=luggage&sr=1-8,4.0,"5,122",₹843,"₹1,899"
Skybags Brat Sea Green 46 Cms Casual Backpack,kids' fashion,School Bags,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71U-5XbfSWL._AC_UL320_.jpg,https://www.amazon.in/Skybags-Brat-Green-Casual-Backpack/dp/B08Z21W4TG/ref=sr_1_9?qid=1679220849&s=luggage&sr=1-9,4.0,"1,000",₹659,"₹2,100"
"Genie Spray School Bag for Girls, 19 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College Ba...",kids' fashion,School Bags,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61wcdlkB0XL._AC_UL320_.jpg,https://www.amazon.in/Genie-Ltrs-School-Backpack-SPRAY19SBBLU/dp/B07QFF2RZR/ref=sr_1_10?qid=1679220849&s=luggage&sr=1-10,4.1,"1,230",₹999,"₹2,599"
