name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Double sided tape for clothes tape for clothes Double Sided Tape for Fashion, Clothing and Body | All Day Strength Tape Ad...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/710gAHYl26L._AC_UL320_.jpg,https://www.amazon.in/clothes-Clothing-Strength-Adhesive-Transparent/dp/B0BV2MW9MM/ref=sr_1_73?qid=1679214274&s=kitchen&sr=1-73,4.4,20,₹142,₹299
"Faber-Castell Creative Studio Watercolours, 5 ml - Set of 12",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71EbJgPwB6L._AC_UL320_.jpg,https://www.amazon.in/Faber-Castell-Creative-Studio-Watercolours-Set/dp/B0825WTN23/ref=sr_1_74?qid=1679214274&s=kitchen&sr=1-74,4.5,"2,122",,₹185
"Arawaza Double Sided Tape Heavy Duty Self Adhesive Tape, Two Side Sticky Pads Strong Wall Adhesive Strips No Marks Reusabl...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71rpS0K-nkL._AC_UL320_.jpg,https://www.amazon.in/Arawaza-NEW-2022-UPGRADE1-Adhesive/dp/B099QCBKML/ref=sr_1_75?qid=1679214274&s=kitchen&sr=1-75,3.7,"1,721",₹247,₹454
RIANZ Painting Brushes Set of 12 Professional Round Pointed Tip Nylon Hair Artist Acrylic Paint Brush for Acrylic/Watercol...,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71kxPbClSBL._AC_UL320_.jpg,https://www.amazon.in/RIANZ-Painting-Brushes-Professional-Watercolor/dp/B08LH6SVTS/ref=sr_1_76?qid=1679214274&s=kitchen&sr=1-76,4.3,"4,291",₹298,₹995
DOMS Smart Drawing Kit by Penmen,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61mxonFNhRL._AC_UL320_.jpg,https://www.amazon.in/DOMS-Smart-Drawing-Kit-Penmen/dp/B08BTNPQTH/ref=sr_1_77?qid=1679214274&s=kitchen&sr=1-77,4.4,"2,436",₹499,₹500
"Asian Paints ezyCR8 Apcolite Enamel Multi-Surface DIY Spray Paint (Gold, 400ml Can)",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51VoVAppgnL._AC_UL320_.jpg,https://www.amazon.in/Asian-Paints-ezyCR8-Apcolite-Aerosol/dp/B08F7KLWKH/ref=sr_1_78?qid=1679214274&s=kitchen&sr=1-78,3.6,"12,773",₹280,₹340
CHIMMET Double Sided Tape Heavy Duty - Multipurpose Removable Traceless Mounting Adhesive Tape for Walls Washable Reusable...,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/611x+SiGVcS._AC_UL320_.jpg,https://www.amazon.in/CHIMMET-Double-Sided-Tape-Heavy/dp/B0BS9P3KSK/ref=sr_1_79?qid=1679214274&s=kitchen&sr=1-79,5.0,1,₹149,₹349
Amazon Brand - Solimo Plastic Atta/Dough Maker,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/711bfQFRYKL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Solimo-Plastic-Dough/dp/B07P82MMQF/ref=sr_1_80?qid=1679214274&s=kitchen&sr=1-80,3.6,"5,458",₹329,₹500
Nubilous Nano Magic Tape Double Tape Multipurpose Removable Traceless Mounting Adhesive Tape for Walls Washable Reusable S...,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51U5EVkROVL._AC_UL320_.jpg,https://www.amazon.in/Nubilous-Multipurpose-Removable-Traceless-Lettering/dp/B09RPSS9CJ/ref=sr_1_81?qid=1679214274&s=kitchen&sr=1-81,4.8,40,,₹249
Fevicol MR 1 kg Craft Glue Ultimate Adhesive for Student’s Project Work - Craft Glue & Office Glue Refill Pack,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51jt+tGFwFL._AC_UL320_.jpg,https://www.amazon.in/Pidilite-Kg-Fevicol-White-Glue/dp/B07GBWN32N/ref=sr_1_82?qid=1679214274&s=kitchen&sr=1-82,4.5,"3,215",₹278,₹325
FreshDcart Power Engraving Pen Etching Carving Name Engrave It Electric Machine with Extra Tool Nib for Jewellery and All ...,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51u4AbYfMBL._AC_UL320_.jpg,https://www.amazon.in/FreshDcart-Engraving-Etching-Electric-Jewellery/dp/B07GQZHLGP/ref=sr_1_83?qid=1679214274&s=kitchen&sr=1-83,3.5,"2,594",₹229,₹499
"Oddy Uniwraps Food Wrapping Paper Sheets | Wrap Roti, Parantha, Sandwich, Burger & More! Keep Food Safe & Fresh | 10x12 In...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51bAZhAgfFL._AC_UL320_.jpg,https://www.amazon.in/Oddy-Uniwraps-Wrapping-Parantha-Sandwich/dp/B09KNKV8V6/ref=sr_1_84?qid=1679214274&s=kitchen&sr=1-84,4.4,343,,₹235
Navneet Youva | Primed Canvas Board for Acrylic and Oil Colour Painting | 12x16 inch | for Students and Budding Artists,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/515HAgRXKuL._AC_UL320_.jpg,https://www.amazon.in/Navneet-Youva-Canvas-Board-12x16/dp/B08BCM4R2B/ref=sr_1_85?qid=1679214274&s=kitchen&sr=1-85,4.4,254,₹112,₹130
"Angel Bear 29 Pieces Professional Sketching & Drawing Art Tool Kit with Graphite Pencils, Charcoal Pencils, Paper Erasable...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61uis-nzJwL._AC_UL320_.jpg,https://www.amazon.in/Angel-Bear-Professional-Sketching-Knife-Lightwish/dp/B08996FBBF/ref=sr_1_86?qid=1679214274&s=kitchen&sr=1-86,4.4,"2,370",₹799,"₹2,499"
Qatalitic Set of 5 Painting Knives of Various Sizes & Shapes,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51G2jIbYDqL._AC_UL320_.jpg,https://www.amazon.in/Deepak-Linograph-Vishal-Painting-Various/dp/B078GYJZDF/ref=sr_1_87?qid=1679214274&s=kitchen&sr=1-87,4.4,"3,580",₹199,₹699
Apsara Matt Magic Eraser - Pack of 20,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71V+1v8ythL._AC_UL320_.jpg,https://www.amazon.in/COLOURED-Gsm%C2%AEDumanhill-registered-listing-Apsara/dp/B07KJ766MD/ref=sr_1_88?qid=1679214274&s=kitchen&sr=1-88,4.3,424,,₹60
"Kuber Industries Non Woven Rectangular Flower Print Carry Bags with Handles - 12F26-KUBBMART016970 (Pink, 26 cm x 11 cm x ...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81UiRPlRD1L._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Handles-Flower-F_26_KUBBMART016970/dp/B08WK6N7YM/ref=sr_1_89?qid=1679214274&s=kitchen&sr=1-89,4.0,378,₹237,₹599
"HaveAdeal® Original New Ivy TV Grip Tape, Double Sided Strong Adhesive Tape, Transparent Traceless Tape Removable Washable...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/415PwsywQ2L._AC_UL320_.jpg,https://www.amazon.in/HaveAdeal%C2%AE-Original-Transparent-Traceless-Removable/dp/B0BQ2ZR8BJ/ref=sr_1_90?qid=1679214274&s=kitchen&sr=1-90,3.4,4,₹124,₹999
"Ubrighty Hand Casting Kit - for Couples, Baby, Husband, Parents, Spacial Anniversary, Birthday Gift, 3D Moulding Powder fo...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/810QWwIggnL._AC_UL320_.jpg,https://www.amazon.in/Ubrighty-Casting-Couples-molding-Moulding/dp/B09691GYRQ/ref=sr_1_91?qid=1679214274&s=kitchen&sr=1-91,4.1,"3,447","₹1,399","₹2,499"
"Amazon Brand - Solimo Cotton Canvas Boards for Painting (8x10, 6x8, 6x6 Combo Pack of 9,White)",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/811cJg5lYrL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Solimo-Canvas-Painting/dp/B09QNQD8D4/ref=sr_1_92?qid=1679214274&s=kitchen&sr=1-92,3.9,16,₹649,"₹1,499"
Camel Camlin Kokuyo Oil Pastel (50 Shades),home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61z4viMOKUL._AC_UL320_.jpg,https://www.amazon.in/Camlin-Kokuyo-Oil-Pastel-Shades/dp/B00LPD51SC/ref=sr_1_93?qid=1679214274&s=kitchen&sr=1-93,4.4,"4,118",,₹190
"Crafts 4 ALL Acrylic Paint Set for Kids and Adults - 24 Pack of 12mL Craft Paint Colors for Wood, Canvas, Fabric and Ceram...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51wZNchjq4L._AC_UL320_.jpg,https://www.amazon.in/Acrylic-Pigments-Beginners-Students-Professional/dp/B01EVJ8Q0Q/ref=sr_1_94?qid=1679214274&s=kitchen&sr=1-94,4.6,"43,431",₹899,"₹1,600"
GLUN 11 mm Transparent HOT MELT 14 Glue Sticks for DIY and Craft Work,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/513XgasMPbL._AC_UL320_.jpg,https://www.amazon.in/Glun-11MM-Transparent-Sticks-Craft/dp/B07KVMPND4/ref=sr_1_95?qid=1679214274&s=kitchen&sr=1-95,3.9,"8,747",₹193,₹499
"DOMS Non-Toxic Water Colour Tube Set in Cardboard Box (12 Assorted Shades, 1 Paint Brush & 1 Palette)",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61QINcHM8lS._AC_UL320_.jpg,https://www.amazon.in/DOMS-Non-Toxic-Cardboard-Assorted-DM7768P1/dp/B095CMLCQW/ref=sr_1_96?qid=1679214274&s=kitchen&sr=1-96,4.4,707,,₹100
"WRAPLUS ""REDEFINING FOOD WRAPPING "" Multipurpose Food Wrapping Paper (20M, Green and White)",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/61q3Rl0FuuL._AC_UL320_.jpg,https://www.amazon.in/Wraplus-Premium-Quality-Multipurpose-Wrapping/dp/B077TZFG7W/ref=sr_1_145?qid=1679214276&s=kitchen&sr=1-145,4.3,"4,457",₹185,₹199
Faber-Castell Erasable Crayon Tin Set - Pack of 12 (Assorted) + 2 FREE Gold and Silver,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/71YnbFkSEAL._AC_UL320_.jpg,https://www.amazon.in/Faber-Castell-Erasable-Crayon-Tin-Set/dp/B073PTLW5F/ref=sr_1_146?qid=1679214276&s=kitchen&sr=1-146,4.2,"3,747",,₹65
"CURISSA Double Sided Tape for Clothes Fashion Dressing Tape/Invisible Double-sided Body Tape, Clothing Bra Strip, Bikini T...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/51VYKdv8nkL._AC_UL320_.jpg,https://www.amazon.in/Dressing-Invisible-Double-sided-Clothing-Stickers/dp/B0B4DJNQLX/ref=sr_1_147?qid=1679214276&s=kitchen&sr=1-147,3.7,656,₹199,₹249
HASTHIP® 200pcs Vintage Journal Supplies Pack for Scrapbook Supplies Art Journaling Bullet Junk Journal Planners DIY Paper...,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/91oiAbzL2LL._AC_UL320_.jpg,https://www.amazon.in/HASTHIP%C2%AE-Supplies-Scrapbook-Journaling-Aesthetic/dp/B0B1X66VK8/ref=sr_1_148?qid=1679214276&s=kitchen&sr=1-148,4.1,90,₹499,₹659
"Red Crush Original Peacock Feather More Pankh Tails Full Length Size (Green, 30 Inch) - Pack of 12",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/71DJ8KwHP8L._AC_UL320_.jpg,https://www.amazon.in/Red-Crush-Peacock-Feather-Original/dp/B08R5YPTHQ/ref=sr_1_149?qid=1679214276&s=kitchen&sr=1-149,3.9,"1,273",₹190,₹399
"INOVERA (LABEL) 12 Set Professional Drawing Art Sketch Graphite Pencils, 2H, H, F, HB, B, 2B, 3B, 4B, 5B, 6B, 7B, 8B, Blac...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/71VTzAoVbEL._AC_UL320_.jpg,https://www.amazon.in/INOVERA-Professional-Drawing-Graphite-Pencils/dp/B09FZHCBJ8/ref=sr_1_150?qid=1679214276&s=kitchen&sr=1-150,4.4,618,₹169,₹699
Galinpo 10Pcs Brooch Pin Assorted Instant Buttons Jean Buttons Pins Mini Enamel Pins Shirt Brooch Buttons Small Safety Lap...,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/61CPdBQ4pkL._AC_UL320_.jpg,https://www.amazon.in/Galinpo-Brooch-Assorted-Instant-Buttons/dp/B0BNLHTCFN/ref=sr_1_151?qid=1679214276&s=kitchen&sr=1-151,3.7,17,₹299,₹999
Jiada Return Gifts Set of Cartoon Printed Kids Haversack Bags (Pack of 12),home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/91ObDp3pKlL._AC_UL320_.jpg,https://www.amazon.in/Jiada-Cartoon-Printed-Kids-Haversack/dp/B01M9JN680/ref=sr_1_152?qid=1679214276&s=kitchen&sr=1-152,3.8,"1,323",₹399,₹780
"royalkart Self Adhesive Hook and Loop Tape | Mounting Tape For Household Purposes,School,Office,Kids| (5m Hook + 5m Loop)(...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/71vLzw7m1PL._AC_UL320_.jpg,https://www.amazon.in/Royalkart-Adhesive-Mounting-Picture-Fastening/dp/B07H2LGHNN/ref=sr_1_153?qid=1679214276&s=kitchen&sr=1-153,3.9,"2,226",₹284,₹474
DOMS Poster Colour 14 Shades,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/61zHe+OFcnS._AC_UL320_.jpg,https://www.amazon.in/Doms-Poster-Colours-14-Shades/dp/B079ZZ5W8T/ref=sr_1_154?qid=1679214276&s=kitchen&sr=1-154,4.5,"2,346",₹194,₹195
"Glactic Painting Brushes Set of 12 Round, Flat Mix Synthetic Hairs Assorted Paint Brush for Acrylic/Watercolor/Oil Brushes...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/71K1LJPfAkL._AC_UL320_.jpg,https://www.amazon.in/Glactic-Painting-Synthetic-Assorted-Watercolor/dp/B09VPQ1RD3/ref=sr_1_155?qid=1679214276&s=kitchen&sr=1-155,4.1,366,₹269,₹499
"Corceptive 3 Meter Double Sided Adhesive Silicon Tape Double Sided Nano Adhesive Tape,Washable Traceless Nano Gel Tape,Sti...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/61Q1hVW9RfL._AC_UL320_.jpg,https://www.amazon.in/Corceptive-Adhesive-Silicon-Washable-Traceless/dp/B08K3JW7ZM/ref=sr_1_156?qid=1679214276&s=kitchen&sr=1-156,3.7,19,₹189,₹599
KABEER ART 16 Well Rectangle Plastic Painting Palette,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/51YmSnW32nL._AC_UL320_.jpg,https://www.amazon.in/KABEER-ART-16-Rectangle-Plastic/dp/B011G1K9EI/ref=sr_1_157?qid=1679214276&s=kitchen&sr=1-157,4.3,556,₹175,₹250
"Jb Branded Original 50 Meters Golden Tape, Home Floor Wallpaper Waterproof Tiles, Tile Gap Tiles Stickers for Floor-(0.5 C...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/61f9qFpzo8L._AC_UL320_.jpg,https://www.amazon.in/Jb-Original-Wallpaper-Waterproof-Stickers/dp/B0BNYH855J/ref=sr_1_158?qid=1679214276&s=kitchen&sr=1-158,3.7,109,₹249,₹999
Multipurpose Double Sided Mounting Tape - Washable Traceless Clear Adhesive Tape - Household & Industrial Gel Tape (9.85 FT),home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/61cGnH-XCRL._AC_UL320_.jpg,https://www.amazon.in/Multipurpose-Double-Sided-Mounting-Tape/dp/B07TX8RPNZ/ref=sr_1_159?qid=1679214276&s=kitchen&sr=1-159,4.0,"2,357",₹110,₹999
