name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
ASIAN Men's Wonder-13 Sports Running Shoes,men's shoes,Sports Shoes,https://m.media-amazon.com/images/I/61utX8kBDlL._AC_UL320_.jpg,https://www.amazon.in/Wonder-Firozi-Sports-Shoes-Indian/dp/B01N66F4CH/ref=sr_1_5?qid=1679147183&s=shoes&sr=1-5,4.0,"86,521",₹524,₹699
Campus Men's OXYFIT (N) Walking Shoe,men's shoes,Sports Shoes,https://m.media-amazon.com/images/I/61ePa5fEKnL._AC_UL320_.jpg,https://www.amazon.in/Campus-OXYFIT-Walking-Shoes-India/dp/B09RPPR4S2/ref=sr_1_6?qid=1679147183&s=shoes&sr=1-6,4.1,"30,222",₹648,₹999
Campus Men's Maxico Running Shoes,men's shoes,Sports Shoes,https://m.media-amazon.com/images/I/81Pk4RiSKqL._AC_UL320_.jpg,https://www.amazon.in/Campus-Maxico-MODBLU-BLU-Running-Shoes/dp/B0855ZDZCX/ref=sr_1_7?qid=1679147183&s=shoes&sr=1-7,3.9,"20,422",₹675,"₹1,299"
Campus Men's Rodeo-2 Running Shoes,men's shoes,Sports Shoes,https://m.media-amazon.com/images/I/6138Uxu+hvL._AC_UL320_.jpg,https://www.amazon.in/Campus-Rodeo-PRO-Running-Shoes/dp/B09RPJQY3Q/ref=sr_1_8?qid=1679147183&s=shoes&sr=1-8,4.0,"14,455",₹751,"₹1,299"
Reebok Men's Energy Runner LP Nacho/Conavy/None Running Shoes,men's shoes,Sports Shoes,https://m.media-amazon.com/images/I/41dXa2CVvPL._AC_UL320_.jpg,https://www.amazon.in/Reebok-Mens-Energy-Runner-Running/dp/B08FZTHYQX/ref=sr_1_9?qid=1679147183&s=shoes&sr=1-9,4.0,"2,819","₹1,250","₹2,499"
Nivia Airstrike Football Stud for Kids | TPU Sole with Direct Injection Molding Technology | A Moulded Removable E.VA| Pr...,men's shoes,Sports Shoes,https://m.media-amazon.com/images/I/71loisxWOEL._AC_UL320_.jpg,https://www.amazon.in/Nivia-1229BK-Airstrike-Football-Stud/dp/B088TS95VP/ref=sr_1_10?qid=1679147183&s=shoes&sr=1-10,3.9,"3,637",,₹699
Fusefit Men's Fit Walk Running Shoe,men's shoes,Sports Shoes,https://m.media-amazon.com/images/I/71J86IKbS5L._AC_UL320_.jpg,https://www.amazon.in/Fusefit-Comfortable-Mens-Walk-Running/dp/B09D3PTWDF/ref=sr_1_11?qid=1679147183&s=shoes&sr=1-11,3.9,464,₹299,"₹1,499"
Sparx Men's Sm-675 Running Shoe,men's shoes,Sports Shoes,https://m.media-amazon.com/images/I/71u2XOFXAIL._AC_UL320_.jpg,https://www.amazon.in/Sparx-SM-675-Turkey-G-Yellow-SX0675GTBGD0010/dp/B08WJ1YS3N/ref=sr_1_12?qid=1679147183&s=shoes&sr=1-12,4.1,"5,089",₹849,₹999
Sparx Mens Sx0500g Running Shoe,men's shoes,Sports Shoes,https://m.media-amazon.com/images/I/41qqR0F0ThL._AC_UL320_.jpg,https://www.amazon.in/Sparx-Golden-Walking-Shoes-9-SX0500G_BKGO0009/dp/B07ZC8GF6T/ref=sr_1_13?qid=1679147183&s=shoes&sr=1-13,4.0,"2,520",₹769,"₹1,099"
"ASIAN Men's Cosko Sports Running,Walking,Gym,Training Sneaker Lace-Up Shoes for Men's & Boy's",men's shoes,Sports Shoes,https://m.media-amazon.com/images/I/61pYhDY8fxL._AC_UL320_.jpg,https://www.amazon.in/ASIAN-Mens-Cosco-Walking-Shoes/dp/B07FRTXSJF/ref=sr_1_14?qid=1679147183&s=shoes&sr=1-14,3.8,"21,811",₹533,₹999
Campus Men's Crysta Running Shoes,men's shoes,Sports Shoes,https://m.media-amazon.com/images/I/81TrWiaA86L._AC_UL320_.jpg,https://www.amazon.in/Campus-Crysta-PRO-Running-Shoes/dp/B09RBGW8HW/ref=sr_1_15?qid=1679147183&s=shoes&sr=1-15,3.9,"17,873",₹673,"₹1,299"
