name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Fastrack Oval Unisex Sunglasses (P188BR1F|Pink & Black) - Pack of 1,accessories,Sunglasses,https://m.media-amazon.com/images/I/61s9NMJ-wsL._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Unisex-Sunglasses-P188BR1F-Brown/dp/B00J58ZFXU/ref=sr_1_145?qid=1679211379&s=apparel&sr=1-145,3.9,132,"₹1,249","₹1,399"
NUVeW Mirrored Sports Unisex Sunglasses - (Color Variants Available | Large),accessories,Sunglasses,https://m.media-amazon.com/images/I/61fNyfHaCbL._AC_UL320_.jpg,https://www.amazon.in/NuVew-Mirrored-Sports-Unisex-Sunglasses/dp/B07XC73L55/ref=sr_1_146?qid=1679211379&s=apparel&sr=1-146,3.7,153,₹345,"₹1,245"
ENRICO Women's Full Rim Cateye Sunglasses | UV Protected Anti-glare Sunglasses | Cateye Sunglasses for Women (EN E 3033),accessories,Sunglasses,https://m.media-amazon.com/images/I/714gIm20B4L._AC_UL320_.jpg,https://www.amazon.in/Enrico-Heather-Polycarbonate-Protected-Sunglasses/dp/B08D7SXX8C/ref=sr_1_147?qid=1679211379&s=apparel&sr=1-147,4.6,7,₹899,"₹1,800"
Royal Son Women Cat Eye Over Sized Sunglasses,accessories,Sunglasses,https://m.media-amazon.com/images/I/61uJJTBKHeL._AC_UL320_.jpg,https://www.amazon.in/Stylish-Gradiant-Goggles-Sunglasses-Over-sized/dp/B083471P5C/ref=sr_1_148?qid=1679211379&s=apparel&sr=1-148,3.6,100,₹657,"₹1,499"
GUESS Gradient Butterfly Women's Sunglasses 7383 45F|58|Brown Color Lens,accessories,Sunglasses,https://m.media-amazon.com/images/I/51Fkb05aW4L._AC_UL320_.jpg,https://www.amazon.in/GUESS-Gradient-Butterfly-Womens-Sunglasses/dp/B015H7NV56/ref=sr_1_149?qid=1679211379&s=apparel&sr=1-149,3.3,7,"₹1,698","₹9,990"
Ameyes Blue Ocean Gradient Cat Eye Women sunglasses (AB 1121 C2 60 S |60| Grey Color Lens),accessories,Sunglasses,https://m.media-amazon.com/images/I/51SnMeXHDES._AC_UL320_.jpg,https://www.amazon.in/Ameyes-Blue-Ocean-sunglasses-1121/dp/B091STLHFL/ref=sr_1_150?qid=1679211379&s=apparel&sr=1-150,5.0,1,"₹1,199","₹2,595"
BAERFIT Woman Butterfly Sunglasses | Butterfly look Sunglasses for Woman | Light weight Sunglasses for Women,accessories,Sunglasses,https://m.media-amazon.com/images/I/61DDcCKDaCL._AC_UL320_.jpg,https://www.amazon.in/BAERFIT-Butterfly-Sunglasses-weight-Coolers/dp/B0BCR443ZF/ref=sr_1_151?qid=1679211379&s=apparel&sr=1-151,4.5,18,₹269,₹699
rofek UV400 Protective Stylish Rimless Diamond Cutting Lens Sunglasses for Women | Women Oversized Butterfly Sunglasses | ...,accessories,Sunglasses,https://m.media-amazon.com/images/I/41G+yYwHX-L._AC_UL320_.jpg,https://www.amazon.in/rofek-Protective-Sunglasses-Oversized-Butterfly/dp/B0BPHP76Q2/ref=sr_1_152?qid=1679211379&s=apparel&sr=1-152,3.4,4,₹699,₹999
"Ratanshala- Round Beaded Eyeglasses Chain for Women, Sunglasses Chain, Reading Glasses Holder,Lanyard for Face Mask, Cryst...",accessories,Sunglasses,https://m.media-amazon.com/images/I/41y4diqKDaL._AC_UL320_.jpg,https://www.amazon.in/Ratanshala-Eyeglasses-Sunglasses-Reading-Crystral/dp/B0915ZT8W8/ref=sr_1_153?qid=1679211379&s=apparel&sr=1-153,4.0,15,₹230,₹999
"Fastrack Women's Round Sunglasses Black Frame, Black Lens (54)-Pack of 1",accessories,Sunglasses,https://m.media-amazon.com/images/I/613RPRB0odL._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Gradient-Goggle-Womens-Sunglasses/dp/B075LMJHK7/ref=sr_1_154?qid=1679211379&s=apparel&sr=1-154,4.0,278,"₹1,879","₹1,999"
IDOR Fashionable Cat Eye Style Cool Sunglasses for Women & Girls | 80491,accessories,Sunglasses,https://m.media-amazon.com/images/I/41HORwDUZqL._AC_UL320_.jpg,https://www.amazon.in/IDOR-Fashionable-Style-Sunglasses-80491-C3/dp/B0B7RFRLT8/ref=sr_1_155?qid=1679211379&s=apparel&sr=1-155,2.0,1,₹689,₹990
"SATYAM KRAFT 1 Pc Sunglasses for Men, Women | One Piece Googles | White Color Glass Stylish Spectacles | Round, Latest, Vi...",accessories,Sunglasses,https://m.media-amazon.com/images/I/31K1HN-sarL._AC_UL320_.jpg,https://www.amazon.in/SATYAM-KRAFT-Sunglasses-Spectacles-Protection/dp/B0BTLLDWMN/ref=sr_1_156?qid=1679211379&s=apparel&sr=1-156,,,₹259,"₹1,200"
"Haute Sauce Rectangular Sunglasses for Women | Solid Frame and Tinted Lens | Shades, Goggles, Eyewear, Chasma, Glares for ...",accessories,Sunglasses,https://m.media-amazon.com/images/I/51wIqF+L+iL._AC_UL320_.jpg,https://www.amazon.in/Haute-Sauce-Oversized-Sunglasses-accessories/dp/B0BW8YWGKY/ref=sr_1_157?qid=1679211379&s=apparel&sr=1-157,,,₹449,₹997
Jubilant Retro Vintage Narrow Cat Eye Sunglasses for Women Clout Goggles,accessories,Sunglasses,https://m.media-amazon.com/images/I/31ScpCfp0OL._AC_UL320_.jpg,https://www.amazon.in/Jubilant-Vintage-Narrow-Sunglasses-Goggles/dp/B08P533JDT/ref=sr_1_158?qid=1679211379&s=apparel&sr=1-158,4.1,144,₹299,₹499
JIM HALO Oversized Sunglasses for Women Cateye Stylish Sun Glasses Wrap Around Sun Glasses for Driving,accessories,Sunglasses,https://m.media-amazon.com/images/I/51i+fqUzQnL._AC_UL320_.jpg,https://www.amazon.in/JIM-HALO-Oversized-Sunglasses-Stylish/dp/B0BJ8H1QLM/ref=sr_1_159?qid=1679211379&s=apparel&sr=1-159,3.0,2,₹799,"₹1,599"
Royal Son Narrow Rectangle UV Protection Sunglasses For Women,accessories,Sunglasses,https://m.media-amazon.com/images/I/51GPf3VR0tL._AC_UL320_.jpg,https://www.amazon.in/Fashion-Kendall-Cooling-Plastic-Sunglasses/dp/B09C239FX4/ref=sr_1_160?qid=1679211379&s=apparel&sr=1-160,4.3,28,₹539,"₹1,999"
HEAVY DRIVER® Unisex Stylish Small Rectangle Cut Rimless Sunglasses Designer Shades Tinted Lens Eyewear Vintage Frameless ...,accessories,Sunglasses,https://m.media-amazon.com/images/I/41Ae7l8aNmL._AC_UL320_.jpg,https://www.amazon.in/HEAVY-Rectangle-Sunglasses-Frameless-Ultralight/dp/B0B1DMSP42/ref=sr_1_161?qid=1679211379&s=apparel&sr=1-161,3.5,42,,₹499
Carlton London Adults-Women Brown One Size Casual Winter Wear Metal Frame UV Protected Lens Sunglasses,accessories,Sunglasses,https://m.media-amazon.com/images/I/51jI28IGB6L._AC_UL320_.jpg,https://www.amazon.in/Carlton-London-Adults-Women-Protected-Sunglasses/dp/B0B6CLXKH4/ref=sr_1_162?qid=1679211379&s=apparel&sr=1-162,5.0,1,₹795,"₹1,445"
NUVeW Mirrored Aviator Unisex Sunglasses - (Ice Blue-Purple Mirror Lens | Gun Frame | Medium),accessories,Sunglasses,https://m.media-amazon.com/images/I/615gjPYY2oL._AC_UL320_.jpg,https://www.amazon.in/NuVew-Mirrored-Aviator-Unisex-Sunglasses/dp/B07XG6K8MK/ref=sr_1_163?qid=1679211379&s=apparel&sr=1-163,3.5,8,₹125,₹875
JIM HALO Small Polarized Round Sunglasses for Women Vintage Double Bridge Frame,accessories,Sunglasses,https://m.media-amazon.com/images/I/61mEJASSE0S._AC_UL320_.jpg,https://www.amazon.in/JIM-HALO-Polarized-Sunglasses-Vintage/dp/B074SFSTHW/ref=sr_1_164?qid=1679211379&s=apparel&sr=1-164,3.9,"1,432",₹699,"₹1,599"
"Izaan Mart Women Retro Driving Rectangular Sunglasses Brown Frame, Brown Colour (Free Size) Pack of 1",accessories,Sunglasses,https://m.media-amazon.com/images/I/519VM8N4BLS._AC_UL320_.jpg,https://www.amazon.in/Izaan-Driving-Rectangular-Sunglasses-Colour/dp/B096S1FHZG/ref=sr_1_165_mod_primary_new?qid=1679211379&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-165,4.3,10,₹190,"₹1,999"
Vincent Chase by Lenskart | Grey Square Stylish Sunglasses | Polarized & UV Protected | For Men & Women | Large | VC S13128,accessories,Sunglasses,https://m.media-amazon.com/images/I/418lxOHi6iS._AC_UL320_.jpg,https://www.amazon.in/Sunglasses-Polarized-Protected-VC-S13128/dp/B0924NXM4M/ref=sr_1_166?qid=1679211379&s=apparel&sr=1-166,5.0,1,,
Carlton London Adults-Women Purple One Size Casual Winter Wear Acetate Frame UV Protected Lens Sunglasses,accessories,Sunglasses,https://m.media-amazon.com/images/I/51ODvM9I9EL._AC_UL320_.jpg,https://www.amazon.in/Carlton-London-Adults-Women-Protected-Sunglasses/dp/B0B6CL4NG3/ref=sr_1_167?qid=1679211379&s=apparel&sr=1-167,,,₹767,"₹1,395"
Voyage UV Protected Cat-Eye Women Sunglasses,accessories,Sunglasses,https://m.media-amazon.com/images/I/6194F-F84bL._AC_UL320_.jpg,https://www.amazon.in/VOYAGE-Protected-Cat-Eye-Women-Sunglasses/dp/B092DX6ZSX/ref=sr_1_168?qid=1679211379&s=apparel&sr=1-168,4.1,11,₹599,"₹1,200"
"rofek UV400 Protective Sunglasses for Women Stylish, Rimless Embellish Butterfly Design Lens with Stone Sunglasses for Dri...",accessories,Sunglasses,https://m.media-amazon.com/images/I/51PGANO-pwL._AC_UL320_.jpg,https://www.amazon.in/rofek-Protective-Sunglasses-Embellish-Pink/dp/B0BXX5HLMT/ref=sr_1_169?qid=1679211379&s=apparel&sr=1-169,,,₹699,₹999
NUVeW UV Protected Aviator Unisex Sunglasses - (Brown Lens | Rose Gold Frame | Medium),accessories,Sunglasses,https://m.media-amazon.com/images/I/61U0nIKlVZL._AC_UL320_.jpg,https://www.amazon.in/NuVew-Protected-Aviator-Unisex-Sunglasses/dp/B07XG7DXDG/ref=sr_1_170?qid=1679211379&s=apparel&sr=1-170,3.3,33,₹125,₹750
IRUS by Idee 100% UV Protected Polycarbonated Medium Square Grey Gradient Sunglasses For Women.,accessories,Sunglasses,https://m.media-amazon.com/images/I/41GXxfdQwPL._AC_UL320_.jpg,https://www.amazon.in/IRUS-Protected-Polycarbonated-Gradient-Sunglasses/dp/B0BC8GFHJF/ref=sr_1_171?qid=1679211379&s=apparel&sr=1-171,,,,₹899
Y&S Sunglasses for Cooling Combo Latest Stylish Women Goggles,accessories,Sunglasses,https://m.media-amazon.com/images/I/710woFSmU5L._AC_UL320_.jpg,https://www.amazon.in/Aviator-Unisex-Sunglasses-Black-Combo/dp/B07R971QXC/ref=sr_1_172?qid=1679211379&s=apparel&sr=1-172,4.0,2,₹419,"₹2,499"
"Haute Sauce Butterfly Sunglasses for Women & Girls | Tinted Lens | Goggles, Glasses, Shades, Eyewear, Chasma, Glares for w...",accessories,Sunglasses,https://m.media-amazon.com/images/I/51PpQhk8APL._AC_UL320_.jpg,https://www.amazon.in/Haute-Sauce-Sunglasses-Gradient-accessories/dp/B0BW8YNSFJ/ref=sr_1_173?qid=1679211379&s=apparel&sr=1-173,,,₹375,₹833
"Jubilant Clout Goggles Oval Mod Retro Vintage Kurt Cobain Inspired Sunglasses -for Girls, Women, Kids-Pack of 1",accessories,Sunglasses,https://m.media-amazon.com/images/I/51BLX4G55CS._AC_UL320_.jpg,https://www.amazon.in/Jubilant-Womens-Sunglasses-White-Medium/dp/B0999KX8QF/ref=sr_1_174?qid=1679211379&s=apparel&sr=1-174,3.8,53,₹449,₹999
