name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
global desi Women's Regular Fit Top,stores,The Designer Boutique,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91DYbYjyneL._AC_UL320_.jpg,https://www.amazon.in/global-desi-Womens-Regular-SS20GH007TPCYD_Off/dp/B0896FM18N/ref=sr_1_49?qid=1679211960&s=apparel&sr=1-49,3.9,73,₹424,"₹1,699"
uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain p...,stores,The Designer Boutique,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61373tSdppL._AC_UL320_.jpg,https://www.amazon.in/POLICE-ltrs-cms-backpack-PTO020008_1_black/dp/B0B81YTTWS/ref=sr_1_50?qid=1679211960&s=apparel&sr=1-50,4.1,184,"₹1,700","₹2,300"
DailyObjects Skinny Fit Card Wallet,stores,The Designer Boutique,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71RGcgsBqHL._AC_UL320_.jpg,https://www.amazon.in/DailyObjects-Ballistic-Skinny-Wallet-Size-3X-2X4/dp/B079P6WCJZ/ref=sr_1_51?qid=1679211960&s=apparel&sr=1-51,4.0,428,₹325,₹499
Taruna Biyani® Multi-Color Semi Precious Gemstone 8MM Bead Size Adjustable Bracelet for Women Girls Reiki Fengshui Astrolo...,stores,The Designer Boutique,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61oIO+OumPL._AC_UL320_.jpg,https://www.amazon.in/Taruna-Biyani-Multi-Color-Adjustable-Carnelian/dp/B09TTCG872/ref=sr_1_52?qid=1679211960&s=apparel&sr=1-52,5.0,1,₹599,"₹2,800"
ZIYAA Women's Synthetic Straight Kurta,stores,The Designer Boutique,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71zAqcpHTuL._AC_UL320_.jpg,https://www.amazon.in/Ziyaa-Womens-Straight-Kurta-zikucr2108-m_grey_medium/dp/B07B6L7CTB/ref=sr_1_53?qid=1679211960&s=apparel&sr=1-53,3.9,"6,387",₹323,"₹1,107"
DailyObjects Blue Nylon Men's Wallet,stores,The Designer Boutique,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/6143dPSYWiL._AC_UL320_.jpg,https://www.amazon.in/DailyObjects-BLUE-NYLON-COIN-CLC-BILL-WLT-Blue-Mens-Wallet/dp/B079M38S6K/ref=sr_1_54?qid=1679211960&s=apparel&sr=1-54,4.0,"1,214",₹599,"₹1,499"
ZOUK Women's Vegan Leather and Jute Handmade Classic Wallets with Mobile Phone Pocket (Multicolour),stores,The Designer Boutique,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/715Ez0PUuAL._AC_UL320_.jpg,https://www.amazon.in/ZOUK-Wallets-Women-Handmade-Classic/dp/B09QV7GW9W/ref=sr_1_55?qid=1679211960&s=apparel&sr=1-55,4.0,23,₹999,"₹2,198"
global desi Women's Straight Pants,stores,The Designer Boutique,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61hF1Cjt3XL._AC_UL320_.jpg,https://www.amazon.in/global-desi-Womens-Solid-Pants_Black_X-Large/dp/B07KT5HB1P/ref=sr_1_56?qid=1679211960&s=apparel&sr=1-56,3.9,241,₹541,"₹1,399"
Neeman's Cotton Classic Sneakers for Men | Comfortable and Sustainable Lace Up Casual Shoes for Boys,stores,The Designer Boutique,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61CxbN7QllL._AC_UL320_.jpg,https://www.amazon.in/Neemans-Cotton-Classic-Sneakers-Numeric_8/dp/B08YDN9PSY/ref=sr_1_57?qid=1679211960&s=apparel&sr=1-57,3.6,"1,246","₹1,649","₹2,999"
Tribe Amrapali Multi Enamel Chandrika Ear Clips for Women,stores,The Designer Boutique,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61pQHtqK86L._AC_UL320_.jpg,https://www.amazon.in/Tribe-Amrapali-Multi-Enamel-Chandrika/dp/B09TL472N7/ref=sr_1_58?qid=1679211960&s=apparel&sr=1-58,,,,₹927
DailyObjects Leather Women Men's Wallet(Lush Midnight),stores,The Designer Boutique,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/6131AQFsYaL._AC_UL320_.jpg,https://www.amazon.in/DailyObjects-Lush-Midnight-Flip-Wallet/dp/B0837VMXPN/ref=sr_1_59?qid=1679211960&s=apparel&sr=1-59,3.8,157,₹499,₹999
"Eco Right Tote Bags for Women & Men Big Size, Large Canvas Tote Bags for Shopping, Weekend Travel, College",stores,The Designer Boutique,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71nl6YpX+tL._AC_UL320_.jpg,https://www.amazon.in/Eco-Right-Cross-Body-Reusable-Shopping/dp/B092QVJNQ5/ref=sr_1_60?qid=1679211960&s=apparel&sr=1-60,4.0,157,₹799,"₹1,399"
"uppercase Laptop Backpack Printed Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women,...",stores,The Designer Boutique,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61Cp0QZBlSL._AC_UL320_.jpg,https://www.amazon.in/uppercase-Backpack-1800EBP2-resistant-sustainable/dp/B0BQYJ8WP5/ref=sr_1_61?qid=1679211960&s=apparel&sr=1-61,4.1,71,"₹1,350","₹1,800"
Tribe Amrapali Pink Enamel Coin Chandrika EarCuffs for Women,stores,The Designer Boutique,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71nnHpIwuYL._AC_UL320_.jpg,https://www.amazon.in/Tribe-Amrapali-Enamel-Chandrika-EarCuffs/dp/B09RWPRVDH/ref=sr_1_62?qid=1679211960&s=apparel&sr=1-62,5.0,2,,"₹1,442"
RIVER X JJ Valaya Women's Scarves,stores,The Designer Boutique,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91cYflXeNdL._AC_UL320_.jpg,https://www.amazon.in/River-Womens-Crepe-Scarf-DBSPL04SCARF02_Navy_m/dp/B0852CT5W5/ref=sr_1_63?qid=1679211960&s=apparel&sr=1-63,3.9,34,₹349,"₹2,499"
"Neeman's ReLive Knit Casual Lace Up Sneakers for Men | Padded Insole for Extra Support, Stylish Shoes for Boys",stores,The Designer Boutique,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71nCeVVZwFL._AC_UL320_.jpg,https://www.amazon.in/Neemans-ReLive-Casual-Sneakers-Numeric_8/dp/B09BR8HGFJ/ref=sr_1_64?qid=1679211960&s=apparel&sr=1-64,3.7,"1,160","₹1,996","₹3,699"
uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zipper...,stores,The Designer Boutique,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61tIGzy30qL._AC_UL320_.jpg,https://www.amazon.in/uppercase-Professional-resistant-sustainable-Anti-theft/dp/B0BR1C59R8/ref=sr_1_65?qid=1679211960&s=apparel&sr=1-65,4.9,23,"₹1,900","₹2,500"
"Pashtush Womens Fine Soft Bamboo Stole, Shikaardar Print Design",stores,The Designer Boutique,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/917UpqABhYL._AC_UL320_.jpg,https://www.amazon.in/Pashtush-Womens-Bamboo-Shikaardar-Design/dp/B09BQTRNP8/ref=sr_1_66?qid=1679211960&s=apparel&sr=1-66,4.4,11,"₹1,149","₹2,599"
Taruna Biyani Golden Imitation Pearl 10mm Bead Size Strand Necklace Mala Set for Women (PS107),stores,The Designer Boutique,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71LtRCp0ZBL._AC_UL320_.jpg,https://www.amazon.in/Taruna-Biyani-Strand-Necklace-PS107/dp/B075CP77KS/ref=sr_1_67?qid=1679211960&s=apparel&sr=1-67,3.9,44,₹854.05,"₹1,899"
