name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"GLUN Bolt Electronic Portable Fishing Hook Type Digital LED Screen Luggage Weighing Scale, 50 kg/110 Lb (Black)",bags & luggage,Travel Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61ofVvpW2ZL._AC_UL320_.jpg,https://www.amazon.in/GLUN-Digital-Electronic-Portable-Weighing/dp/B07PK41FL4/ref=sr_1_1?qid=1679219103&s=luggage&sr=1-1,3.9,"18,665",₹278,₹899
Boldfit Shoe Bag for Travel & Storage Travel Organizer for Women & Men Travel Accessories Shoe Organizer Shoe Bags Pouches...,bags & luggage,Travel Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71UlEDZPiCL._AC_UL320_.jpg,https://www.amazon.in/Boldfit-Organizer-Accessories-Travelling-Essentials/dp/B0BK1457X3/ref=sr_1_2?qid=1679219103&s=luggage&sr=1-2,4.5,455,₹199,₹599
GoTrippin Metal Luggage Weighing Scale Digital (Silver_ELS),bags & luggage,Travel Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71hsXSulLkL._AC_UL320_.jpg,https://www.amazon.in/GoTrippin-Machine-Luggage-Weighing-Portable/dp/B07Q822CWX/ref=sr_1_3?qid=1679219103&s=luggage&sr=1-3,4.4,"8,615",₹699,"₹1,200"
Boldfit Weight Machine For Luggage Weighing Scale For Luggage Capable Upto 50 Kg Weight Luggage Weight Machine Weighing Ma...,bags & luggage,Travel Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61en24Ik00L._AC_UL320_.jpg,https://www.amazon.in/Boldfit-Machine-Luggage-Weighing-Capable/dp/B0BJZ5T23Z/ref=sr_1_4?qid=1679219103&s=luggage&sr=1-4,4.2,370,₹499,"₹1,499"
Boldfit Waist Bag for Men Travel Bag for Men Chest Bag for Men Travel Fanny Pack for Men Waist Bag for Women Side Bag for ...,bags & luggage,Travel Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71MT1XBQi-L._AC_UL320_.jpg,https://www.amazon.in/Boldfit-Travel-Accessories-Purse-Mobile/dp/B0BJZQ3ZR9/ref=sr_1_5?qid=1679219103&s=luggage&sr=1-5,4.7,376,₹299,₹799
"3M 1110 Ear Plugs Corded, Extra Soft, Reusable Earbuds Noise Cancellation, Soundproof Earplug Use For Underwater, Meditati...",bags & luggage,Travel Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71MMT4HYIiL._AC_UL320_.jpg,https://www.amazon.in/3M-1110-Corded-Reduction-orange/dp/B00VTNZAXO/ref=sr_1_6?qid=1679219103&s=luggage&sr=1-6,3.7,"33,642",₹16,"₹1,600"
"Kuber Industries Shoe Cover/String Bag Organizer|Shoe Print & Non Woven Material|Transparent Window|Size 43 x 30 Cm, Pack ...",bags & luggage,Travel Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81FcsVYmXJL._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Travel-Organizer-CTMTC039483/dp/B084DWD41F/ref=sr_1_7?qid=1679219103&s=luggage&sr=1-7,4.5,"2,954",₹279,₹319
"TOWINO® Eye Mask for Sleep Eye Mask Super Smooth And Adjustable Strap- Super Soft & Comfortable for Women & Men, Blindfold...",bags & luggage,Travel Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81-AHVmfXSL._AC_UL320_.jpg,https://www.amazon.in/Sleep-Adjustable-Comfortable-Travelling-Grey/dp/B0999HFWJ2/ref=sr_1_8?qid=1679219103&s=luggage&sr=1-8,4.3,"4,652",₹219,₹599
"Wolpin Pack of 10 Pcs Shoe Bag Cover for Shoe Storage & Travelling Drawstring Bags Waterproof, White",bags & luggage,Travel Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61PoaoaIFeL._AC_UL320_.jpg,https://www.amazon.in/Wolpin-Storage-Travelling-Drawstring-Waterproof/dp/B0B3SG8RQD/ref=sr_1_9?qid=1679219103&s=luggage&sr=1-9,4.5,514,₹239,₹999
Bildos Cotton Unisex Super Breathable Cloth Face mask with Adjustable Ear Loop (Multicolour) - Pack of 12,bags & luggage,Travel Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91-UyQ3GmLL._AC_UL320_.jpg,https://www.amazon.in/Bildos-Reusable-Breathable-Adjustable-Multicolour/dp/B097HPRNNC/ref=sr_1_10?qid=1679219103&s=luggage&sr=1-10,4.2,"16,345",₹299,₹999
"Boldhealth Eye Mask Cooling Gel with Beads for Dark Circles, Dry Eyes, Cooling Eyes, Redness, Eye Patches Eye Cooling Gel ...",bags & luggage,Travel Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71z4eu6jp5L._AC_UL320_.jpg,https://www.amazon.in/Boldhealth-Stretchable-Sleeping-Relaxing-Gel-Blue/dp/B0BT9LKNFB/ref=sr_1_11?qid=1679219103&s=luggage&sr=1-11,4.5,54,₹299,₹799
travel360 Degree Neck Travel Pillow Multipurpose.,bags & luggage,Travel Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71eQtSSzyjL._AC_UL320_.jpg,https://www.amazon.in/travel360-degree-Travel-Pillow-Multipurpose/dp/B07MT97SPX/ref=sr_1_12?qid=1679219103&s=luggage&sr=1-12,4.0,"6,414",₹299,₹999
Boldfit Shoe Bag for Travel & Storage Travel Organizer for Women & Men Travel Accessories Shoe Organizer Shoe Bags Pouches...,bags & luggage,Travel Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81F4YkbCa0L._AC_UL320_.jpg,https://www.amazon.in/Boldfit-Storage-Organizer-Accessories-Essentials/dp/B0BSR2G3F3/ref=sr_1_13?qid=1679219103&s=luggage&sr=1-13,4.9,173,₹299,₹699
"FATMUG Travel Bag -Toiletry Organizer Hanging Dopp Kit for Men, Cosmetics Pouch for Women - Dark Grey",bags & luggage,Travel Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81otE8ICVsL._AC_UL320_.jpg,https://www.amazon.in/FATMUG-Travel-Toiletry-Organizer-Hanging/dp/B07W7KZCCD/ref=sr_1_14?qid=1679219103&s=luggage&sr=1-14,4.4,"4,457",₹449,₹999
"Destinio Umbrella for Men, Umberallas for Rain Big Size Men, Umberalla Large for Man,Women,Kids,Girls,Boys - 3 Fold with A...",bags & luggage,Travel Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61VngL7QiyL._AC_UL320_.jpg,https://www.amazon.in/Destinio-Large-Umbrella-Women-Close/dp/B089GM5Q7Z/ref=sr_1_15?qid=1679219103&s=luggage&sr=1-15,4.0,"4,258",₹799,"₹1,299"
"FUR JADEN Memory Foam Luxury Travel Neck Support Rest Pillow Eye Mask, Noise Isolating Ear Plugs Portable Combo (Black)",bags & luggage,Travel Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81BeUxDqhyL._AC_UL320_.jpg,https://www.amazon.in/Memory-Luxury-Support-Isolating-Portable/dp/B09KNPF1Z6/ref=sr_1_16?qid=1679219103&s=luggage&sr=1-16,4.2,751,₹739,"₹2,000"
Boldfit Eye Mask for Sleeping with Adjustable Strap Super Soft Sleeping Mask Blind Fold for Comfortable Sleep Travelling S...,bags & luggage,Travel Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61--Rpik9EL._AC_UL320_.jpg,https://www.amazon.in/Boldfit-Sleeping-Adjustable-Comfortable-Travelling/dp/B0BQMBXK8W/ref=sr_1_17?qid=1679219103&s=luggage&sr=1-17,4.5,82,₹219,₹499
"FOM (Friends of Meditation) 100% Mulberry Silk Eye Mask, Super Smooth Sleep Mask And Blind Fold (Black)",bags & luggage,Travel Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61+zVzRJVDS._AC_UL320_.jpg,https://www.amazon.in/Friends-Meditation-Mulberry-Super-Smooth/dp/B01LN7K4ZO/ref=sr_1_18?qid=1679219103&s=luggage&sr=1-18,4.2,"9,755",₹313,₹499
ATOM A 302 Electronic Digital Hanging Stainless Steel Hook Luggage Portable Scale with LCD Display for Industrial Fishing ...,bags & luggage,Travel Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31ce1uGv6uL._AC_UL320_.jpg,https://www.amazon.in/Atom-302-Portable-Scale-Black/dp/B0744LDJKG/ref=sr_1_19?qid=1679219103&s=luggage&sr=1-19,4.0,"2,864",₹297,₹499
