name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Alfisha Nylon Waterproof Strolley Luggage Duffle Bag with 2 Wheels (Brown, 55 L)",bags & luggage,Travel Duffles,https://m.media-amazon.com/images/I/81wDluT18EL._AC_UL320_.jpg,https://www.amazon.in/litres-Waterproof-Strolley-Duffle-Wheels/dp/B09KJ5Z7M5/ref=sr_1_241?qid=1679218969&s=luggage&sr=1-241,3.5,31,₹533,"₹1,299"
TAGUDA travel foldable portable lightweight luggage storage duffle tote hand organizer easy carry bags backpack set for me...,bags & luggage,Travel Duffles,https://m.media-amazon.com/images/I/5123aRINmQL._AC_UL320_.jpg,https://www.amazon.in/TAGUDA-foldable-portable-lightweight-organizer/dp/B0B8CSC4F1/ref=sr_1_242?qid=1679218969&s=luggage&sr=1-242,3.4,61,₹299,₹529
Gear polyester 24 Cms Duffle Bag(METRO NEW MAXIS DUFFELL CUM BACKPACK_grey),bags & luggage,Travel Duffles,https://m.media-amazon.com/images/I/91uMNPcR9KL._AC_UL320_.jpg,https://www.amazon.in/Gear-METRO-MAXIS-DUFFELL-BACKPACK/dp/B01LZ1X2ZP/ref=sr_1_243?qid=1679218969&s=luggage&sr=1-243,4.2,"1,359",₹629,"₹1,599"
Skybags Polyester 31 Cms Duffle Bag(SKYBAGSefwe1_ Multicolour),bags & luggage,Travel Duffles,https://m.media-amazon.com/images/I/81Ht3aG8O7L._AC_UL320_.jpg,https://www.amazon.in/Skybags-DFTHUS55GRN-Polyester-Multicolour-Luggage/dp/B07N5NYD6J/ref=sr_1_244?qid=1679218969&s=luggage&sr=1-244,4.1,30,"₹2,390","₹4,820"
Avila Lightweight Travel Duffel Bag for Men and Women with Wheels-Brown,bags & luggage,Travel Duffles,https://m.media-amazon.com/images/I/91N-yKhO7jL._AC_UL320_.jpg,https://www.amazon.in/avila-Gala-Patang-Brown-Travel-Bags-Brown/dp/B09TRJ4NM5/ref=sr_1_245?qid=1679218969&s=luggage&sr=1-245,,,₹545,"₹1,299"
Rexez nylon 7 Cms Duffle Bag(FTB-1_multi),bags & luggage,Travel Duffles,https://m.media-amazon.com/images/I/31DRq35OKYL._AC_UL320_.jpg,https://www.amazon.in/Rexez-nylon-Cms-Duffle-FTB-1_multi/dp/B0B659G2KV/ref=sr_1_246?qid=1679218969&s=luggage&sr=1-246,4.3,38,₹599,₹999
American Tourister Poler Polyester 57 cms Black Travel Duffle (FW8 (0) 09 001),bags & luggage,Travel Duffles,https://m.media-amazon.com/images/I/81koqvWeuoL._AC_UL320_.jpg,https://www.amazon.in/American-Tourister-FW8-09-001/dp/B07XQN97SH/ref=sr_1_247?qid=1679218969&s=luggage&sr=1-247,4.3,371,"₹1,899","₹3,390"
G MALL Foldable Travel Bag Tote Lightweight Waterproof Duffel Bag Carry Storage Luggage Portable Folding Bag (Foldable Tra...,bags & luggage,Travel Duffles,https://m.media-amazon.com/images/I/51Be8QtX0nL._AC_UL320_.jpg,https://www.amazon.in/Foldable-Lightweight-Waterproof-Storage-Portable/dp/B0BQFN9LK4/ref=sr_1_248?qid=1679218969&s=luggage&sr=1-248,2.5,3,₹300,₹600
"Sunesh Creation 6 Compartment Cell Foldable Travel Watch Storage Bag Cover/Organizer with Durable Zip (Golden, 24x41 cm), ...",bags & luggage,Travel Duffles,https://m.media-amazon.com/images/I/71yumt-BWhL._AC_UL320_.jpg,https://www.amazon.in/Creation-Compartment-Foldable-Storage-durable/dp/B084275YL4/ref=sr_1_249?qid=1679218969&s=luggage&sr=1-249,4.5,14,₹249,₹999
Skybags polyester 23 Cms Duffle Bag(INVALID DATA_Orange),bags & luggage,Travel Duffles,https://m.media-amazon.com/images/I/81SpcSPIvML._AC_UL320_.jpg,https://www.amazon.in/SKYBAGS-Unisex-Medium-Luggage-Bag-DFTHUS65ONG/dp/B07F32QFPN/ref=sr_1_250?qid=1679218969&s=luggage&sr=1-250,4.1,119,"₹3,195","₹6,620"
The Clownfish Jordan 25 litres Unisex Faux Leather Travel Duffle Bag Weekender Bag (Dark Brown),bags & luggage,Travel Duffles,https://m.media-amazon.com/images/I/71SbGpaaHgL._AC_UL320_.jpg,https://www.amazon.in/Clownfish-Jordan-litres-Leather-Weekender/dp/B09PVCVWXY/ref=sr_1_251?qid=1679218969&s=luggage&sr=1-251,4.6,16,"₹1,399","₹2,999"
"Hammonds Flycatcher Genuine Leather Brown Cabin Size(18"") Travel Duffle|Graphite Grey",bags & luggage,Travel Duffles,https://m.media-amazon.com/images/I/91ruGNwpuPS._AC_UL320_.jpg,https://www.amazon.in/Hammonds-Flycatcher-Genuine-Leather-Graphite/dp/B097MS2GGH/ref=sr_1_252?qid=1679218969&s=luggage&sr=1-252,4.5,172,"₹3,599","₹11,999"
F Gear Aral Cathy 46 Ltres Travel Duffel Bag (3846),bags & luggage,Travel Duffles,https://m.media-amazon.com/images/I/71bwYoISBZS._AC_UL320_.jpg,https://www.amazon.in/Gear-Cathy-Ltres-Travel-Duffel/dp/B097KB6BQX/ref=sr_1_253?qid=1679218969&s=luggage&sr=1-253,4.6,11,₹564,"₹1,740"
STACKRAID Packing Cube Travel Organizer for Men and Women Luggage Laundry Clothes Storage Pouch Bags (Multicolor),bags & luggage,Travel Duffles,https://m.media-amazon.com/images/I/71irQFV-xzL._AC_UL320_.jpg,https://www.amazon.in/STACKRAID-Packing-Organizer-Luggage-Multicolor/dp/B0BLZPNCM8/ref=sr_1_254?qid=1679218969&s=luggage&sr=1-254,,,₹410,₹899
Airish polyester 30 Cms Duffle Bag(ARU-3_Red),bags & luggage,Travel Duffles,https://m.media-amazon.com/images/I/81IqMlA00-L._AC_UL320_.jpg,https://www.amazon.in/Airish-Fashion-Polyester-Lightweight-Luggage/dp/B08N4LYZ2T/ref=sr_1_255?qid=1679218969&s=luggage&sr=1-255,3.7,38,₹461,"₹2,395"
Flywind Large Casual Travel Bags Clothes Luggage Storage Organizer Collation Puch Cases Suitcase Accessories Supplies Item...,bags & luggage,Travel Duffles,https://m.media-amazon.com/images/I/31fcGsyAz3L._AC_UL320_.jpg,https://www.amazon.in/Flywind-Organizer-Accessories-Duffle-Bag/dp/B0BW3K58R3/ref=sr_1_256?qid=1679218969&s=luggage&sr=1-256,,,₹229,₹499
