name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Fastrack Reflex Play|1.3” AMOLED Display Smart Watch with AOD|Premium Metallic Body|Animated Watchfaces|in-Built Games|BP...,accessories,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71MXBWGALUL._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Reflex-AMOLED-Display-Watchfaces/dp/B0B4NSK3L1/ref=sr_1_5?qid=1679155582&s=watches&sr=1-5,3.6,"3,013","₹3,495","₹7,995"
"Fossil Gen 5E Smartwatch with AMOLED Screen, Wear OS by Google, Built-in Speaker for Phone Calls, Google Assistant, SpO2, ...",accessories,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81gU0NVV5WL._AC_UL320_.jpg,https://www.amazon.in/Fossil-Smartwatch-stainless-Bluetooth-calling/dp/B08FWGZB8Q/ref=sr_1_6?qid=1679155582&s=watches&sr=1-6,3.9,"12,329","₹14,795","₹18,495"
Fossil Analog Rose Gold Dial Women's Watch-BQ3181,accessories,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/611I0f+I+MS._AC_UL320_.jpg,https://www.amazon.in/Fossil-Analog-Rose-Womens-Watch-BQ3181/dp/B078Y2PJL4/ref=sr_1_7?qid=1679155582&s=watches&sr=1-7,4.5,"2,796","₹6,170","₹9,495"
LOUIS DEVIN LD-L144-BLU-CH Mesh Steel Chain Analog Wrist Watch for Women,accessories,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81jnv+iz+ZL._AC_UL320_.jpg,https://www.amazon.in/LOUIS-DEVIN-Analogue-Colored-LD-L144-BLU-CH/dp/B08VN2H8CV/ref=sr_1_8?qid=1679155582&s=watches&sr=1-8,4.0,"5,276",₹289,"₹1,999"
IMPERIOUS - THE ROYAL WAY Analogue Women's Watch (Black Dial),accessories,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51LTJjshaIL._AC_UL320_.jpg,https://www.amazon.in/Imperious-Analog-Black-Womens-Watch/dp/B07G9GJRF6/ref=sr_1_9?qid=1679155582&s=watches&sr=1-9,3.9,"6,137",₹759,"₹1,999"
Fossil Gwen Analogue Women's Watch(Rose Gold Dial Womens Standard Colored Strap)-ES4879,accessories,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81-uDhNwXZL._AC_UL320_.jpg,https://www.amazon.in/Fossil-Analogue-Standard-Colored-ES4879/dp/B086K654H9/ref=sr_1_10?qid=1679155582&s=watches&sr=1-10,4.4,309,"₹7,197","₹11,995"
Fossil Tillie Mini Analog Multicolor Dial Women's Watch-BQ3502,accessories,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51sxKFEEUJL._AC_UL320_.jpg,https://www.amazon.in/Fossil-Tillie-Analog-Multicolor-Watch-BQ3502/dp/B07RPQWF6B/ref=sr_1_11?qid=1679155582&s=watches&sr=1-11,4.2,127,"₹4,497","₹8,995"
Titan Raga Viva Analog Rose Gold Dial Women's Watch-NL2608WM01,accessories,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71pVJzxnrTL._AC_UL320_.jpg,https://www.amazon.in/Titan-Raga-Analog-Womens-Watch-2608WM01/dp/B07D2F8JPG/ref=sr_1_12?qid=1679155582&s=watches&sr=1-12,4.4,656,,"₹5,395"
"Fastrack Analog Dial Women's Watch (Pink, 6150SM04)-NM6150SM04 / NL6150SM04/NP6150SM04",accessories,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71S8hn6xv4L._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Analog-Womens-6150SM04-NK6150SM04/dp/B01GDWNV68/ref=sr_1_13?qid=1679155582&s=watches&sr=1-13,4.4,"7,815","₹1,479","₹1,850"
STYLEDOSE Branded Analogue Black Dial Magnet Watch With Gift Bracelet For Women Or Girls And Watch For Girl Or Women (Comb...,accessories,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91zvsjtEEDL._AC_UL320_.jpg,https://www.amazon.in/STYLEDOSE-Diamond-Studded-Analogue-Bracelet/dp/B08YZ39MX4/ref=sr_1_14?qid=1679155582&s=watches&sr=1-14,3.9,"5,874",₹299,₹999
Fastrack Reflex Play +|BT Calling|1.3” AMOLED Display Smartwatch with AOD|Premium Metallic Body|AI Voice Assistant|In-Buil...,accessories,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/616P6+nn-rL._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Watchfaces-Multiple-Watchface-Resistance/dp/B0BB7H8RL1/ref=sr_1_15?qid=1679155582&s=watches&sr=1-15,3.7,615,"₹6,995","₹9,995"
Titan Karishma Revive Analog Silver Dial Women's Watch-NL2594BM01,accessories,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/617cYEKOE9L._AC_UL320_.jpg,https://www.amazon.in/Titan-Karishma-Revive-Analog-Watch-2594BM01/dp/B079MD544V/ref=sr_1_16?qid=1679155582&s=watches&sr=1-16,4.3,"1,169","₹1,596","₹1,995"
Titan Karishma Revive Analog Champagne Dial Women's Watch-NL2594YM01,accessories,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61M-iMX3f9L._AC_UL320_.jpg,https://www.amazon.in/Titan-Karishma-Revive-Champagne-Watch-2594YM01/dp/B079MRQ1VW/ref=sr_1_17?qid=1679155582&s=watches&sr=1-17,4.3,"1,005","₹1,579","₹1,995"
